"原始分","CVP_标准分","CVP_百分比","EL_标准分","EL_百分比","RL_标准分","RL_百分比","FM_标准分","FM_百分比","GM_标准分","GM_百分比","VMI_标准分","VMI_百分比","AE_标准分","AE_百分比","SR_标准分","SR_百分比","CMB_标准分","CMB_百分比","CVB_标准分","CVB_百分比","PB_标准分","PB_百分比","PSC_标准分","PSC_百分比","AB_标准分","AB_百分比"
"42","12","71","16","98","","","","","","","","","","","","","","","","","","","","","",""
"43","12","71","16","98","","","","","","","","","","","","","","","","","","","","","",""
"44","12","71","17",">99","","","","","","","","","","","","","","","","","","","","","",""
"45","13","81","17",">99","","","","","","","","","","","","","","","","","","","","","",""
"46","13","81","17",">99","","","","","","","","","","","","","","","","","","","","","",""
"47","13","81","18",">99","","","","","","","","","","","","","","","","","","","","","",""
"48","13","81","18",">99","","","","","","","","","","","","","","","","","","","","","",""
"49","14","83","18",">99","","","","","","","","","","","","","","","","","","","","","",""
"50","14","83","18",">99","","","","","","","","","","","","","","","","","","","","","",""
"51","14","83","","","","","","","","","","","","","","","","","","","","","","","",""
"52","14","83","","","","","","","","","","","","","","","","","","","","","","","",""
"53","14","83","","","","","","","","","","","","","","","","","","","","","","","",""
"54","15","86","","","","","","","","","","","","","","","","","","","","","","","",""
"55","15","86","","","","","","","","","","","","","","","","","","","","","","","",""
"56","15","86","","","","","","","","","","","","","","","","","","","","","","","",""
"57","15","86","","","","","","","","","","","","","","","","","","","","","","","",""
"58","16","93","","","","","","","","","","","","","","","","","","","","","","","",""
"59","16","93","","","","","","","","","","","","","","","","","","","","","","","",""
"60","16","93","","","","","","","","","","","","","","","","","","","","","","","",""
"61","16","93","","","","","","","","","","","","","","","","","","","","","","","",""
"62","17","98","","","","","","","","","","","","","","","","","","","","","","","",""
"63","17","98","","","","","","","","","","","","","","","","","","","","","","","",""
"64","17","98","","","","","","","","","","","","","","","","","","","","","","","",""
"65","17","98","","","","","","","","","","","","","","","","","","","","","","","",""
"66","17","98","","","","","","","","","","","","","","","","","","","","","","","",""
"67","17","98","","","","","","","","","","","","","","","","","","","","","","","",""
"68","17","98","","","","","","","","","","","","","","","","","","","","","","","",""
"SEM","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1",""
