"原始分","CVP_标准分","CVP_百分比","EL_标准分","EL_百分比","RL_标准分","RL_百分比","FM_标准分","FM_百分比","GM_标准分","GM_百分比","VMI_标准分","VMI_百分比","AE_标准分","AE_百分比","SR_标准分","SR_百分比","CMB_标准分","CMB_百分比","CVB_标准分","CVB_百分比","PB_标准分","PB_百分比","PSC_标准分","PSC_百分比","AB_标准分","AB_百分比"
"0","3","<2","6","15","5","8","1","2","1","<2","3","2","5","2","5","3","1","<2","3","4","2","1","1","<2","2","1"
"1","4","2","6","15","5","8","1","2","1","<2","4","5","5","2","5","3","1","<2","3","4","3","3","1","<2","2","1"
"2","4","2","6","15","5","8","1","2","1","<2","4","5","6","6","6","9","1","<2","4","8","4","4","1","<2","3","2"
"3","4","2","7","33","6","30","1","2","1","<2","5","13","6","6","6","9","2","2","4","8","4","4","2","2","3","2"
"4","4","2","7","33","6","30","1","2","2","2","5","13","7","15","7","17","2","2","5","8","5","8","3","7","4","5"
"5","4","2","7","33","6","30","1","2","2","2","6","22","7","15","7","17","3","3","5","8","5","8","3","7","4","5"
"6","5","10","7","33","6","30","1","2","2","2","6","22","8","25","7","17","3","3","6","8","6","14","4","11","5","8"
"7","5","10","8","42","7","45","1","2","3","9","7","28","8","25","8","28","3","3","7","8","6","14","5","15","5","8"
"8","5","10","8","42","7","45","2","5","3","9","7","28","8","25","8","28","4","5","7","8","7","19","5","15","6","12"
"9","5","10","8","42","7","45","2","5","4","17","8","35","9","35","9","41","4","5","8","15","8","25","6","20","6","12"
"10","5","10","8","42","8","47","2","5","4","17","9","38","9","35","9","41","5","12","8","15","9","33","6","20","7","20"
"11","5","10","9","52","8","47","3","7","4","17","9","38","10","45","10","50","5","12","9","31","9","33","7","24","7","20"
"12","6","26","9","52","8","47","3","7","4","17","10","50","10","45","10","50","6","20","10","46","10","41","8","28","8","31"
"13","6","26","9","52","8","47","3","7","5","22","10","50","11","58","11","59","6","20","10","46","11","54","8","28","8","31"
"14","6","26","9","52","9","52","4","13","5","22","11","65","11","58","11","59","7","27","11","73","11","54","9","31","9","42"
"15","6","26","9","52","9","52","4","13","6","26","11","65","12","68","12","73","7","27","11","73","12","67","10","39","9","42"
"16","6","26","10","63","9","52","5","22","6","26","12","75","12","68","12","73","8","32","12","96","12","67","10","39","10","50"
"17","7","36","10","63","9","52","5","22","7","28","12","75","13","81","12","73","8","32","12","96","13","75","11","54","10","50"
"18","7","36","10","63","10","62","5","22","7","28","13","88","13","81","13","86","9","38","13",">99","14","86","11","54","11","58"
"19","7","36","10","63","10","62","6","25","8","29","13","88","14","91","13","86","9","38","14",">99","14","86","12","70","11","58"
"20","7","36","10","63","10","62","6","25","8","29","14","98","14","91","13","86","9","38","14",">99","15","96","13","85","12","70"
"21","7","36","11","69","10","62","7","28","9","34","","","15","97","14","93","10","47","15",">99","","","13","85","12","70"
"22","7","36","11","69","11","72","7","28","9","34","","","15","97","14","93","10","47","15",">99","","","14","94","13","80"
"23","8","40","11","69","11","72","7","28","10","40","","","","","15","98","11","60","","","","","14","94","13","80"
"24","8","40","11","69","11","72","8","30","10","40","","","","","","","11","60","","","","","15","98","14","89"
"25","8","40","12","75","11","72","8","30","11","47","","","","","","","12","73","","","","","15","98","14","89"
"26","8","40","12","75","12","78","8","30","11","47","","","","","","","12","73","","","","","16",">99","14","89"
"27","8","40","12","75","12","78","9","32","12","69","","","","","","","13","83","","","","","","","15","97"
"28","9","47","12","75","12","78","9","32","12","69","","","","","","","13","83","","","","","","","15","97"
"29","9","47","12","75","12","78","10","40","13","93","","","","","","","14","95","","","","","","","16",">99"
"30","9","47","13","81","13","82","10","40","13","93","","","","","","","14","95","","","","","","","16",">99"
"31","9","47","13","81","13","82","10","40","","","","","","","","","","","","","","","","","",""
"32","9","47","13","81","13","82","11","55","","","","","","","","","","","","","","","","","",""
"33","10","57","13","81","14","90","11","55","","","","","","","","","","","","","","","","","",""
"34","10","57","14","83","14","90","12","72","","","","","","","","","","","","","","","","","",""
"35","10","57","14","83","14","90","12","72","","","","","","","","","","","","","","","","","",""
"36","10","57","14","83","14","90","12","72","","","","","","","","","","","","","","","","","",""
"37","11","62","15","90","15","98","13","90","","","","","","","","","","","","","","","","","",""
"38","11","62","15","90","15","98","13","90","","","","","","","","","","","","","","","","","",""
"39","11","62","15","90","","","14",">99","","","","","","","","","","","","","","","","","",""
"40","11","62","15","90","","","14",">99","","","","","","","","","","","","","","","","","",""
"41","12","71","16","98","","","","","","","","","","","","","","","","","","","","","",""
