"原始分","CVP_标准分","CVP_百分比","EL_标准分","EL_百分比","RL_标准分","RL_百分比","FM_标准分","FM_百分比","GM_标准分","GM_百分比","VMI_标准分","VMI_百分比","AE_标准分","AE_百分比","SR_标准分","SR_百分比","CMB_标准分","CMB_百分比","CVB_标准分","CVB_百分比","PB_标准分","PB_百分比","PSC_标准分","PSC_百分比","AB_标准分","AB_百分比"
"0","3","2","5","2","4","2","1","<2","1","<2","2","2","4","<1","4","2","1","<2","3","3","2","1","1","<5","1","<1"
"1","3","2","5","2","4","2","1","<2","1","<2","3","5","4","<1","4","2","1","<2","3","3","3","3","1","<5","1","<1"
"2","3","2","6","9","5","5","1","<2","1","<2","4","7","5","1","5","4","1","<2","4","6","4","4","1","<5","2","<1"
"3","3","2","6","9","5","5","1","<2","1","<2","4","7","5","1","5","4","2","2","4","6","4","4","1","<5","2","<1"
"4","4","5","6","9","5","5","1","<2","1","<2","5","9","6","5","6","7","2","2","5","6","5","8","2","<5","3","1"
"5","4","5","7","14","6","7","1","<2","1","<2","5","9","6","5","6","7","3","5","5","6","5","8","2","<5","3","1"
"6","4","5","7","14","6","7","1","<2","1","<2","6","9","7","15","7","12","3","5","6","6","6","14","3","5","4","2"
"7","4","5","7","14","6","7","1","<2","2","<2","6","9","7","15","7","12","3","5","7","6","6","14","4","11","4","2"
"8","4","5","8","18","6","7","1","<2","2","<2","7","11","7","15","7","12","4","7","7","6","7","19","4","11","5","5"
"9","4","5","8","18","7","12","1","<2","3","2","7","11","8","26","8","18","4","7","8","18","8","25","5","11","5","5"
"10","5","5","8","18","7","12","1","<2","3","2","8","16","8","26","8","18","5","9","8","18","9","33","6","11","6","8"
"11","5","5","8","18","7","12","2","2","3","2","9","18","9","38","9","41","5","9","9","32","9","33","6","11","6","8"
"12","5","5","8","18","8","17","2","2","3","2","9","18","9","38","9","41","6","11","10","41","10","41","7","13","7","14"
"13","5","5","9","25","8","17","3","5","4","5","10","27","10","49","10","50","6","11","10","41","11","54","7","13","7","14"
"14","5","5","9","25","8","17","3","5","4","5","10","27","10","49","10","50","7","20","11","56","11","54","8","16","8","24"
