"原始分","CVP_标准分","CVP_百分比","EL_标准分","EL_百分比","RL_标准分","RL_百分比","FM_标准分","FM_百分比","GM_标准分","GM_百分比","VMI_标准分","VMI_百分比","AE_标准分","AE_百分比","SR_标准分","SR_百分比","CMB_标准分","CMB_百分比","CVB_标准分","CVB_百分比","PB_标准分","PB_百分比","PSC_标准分","PSC_百分比","AB_标准分","AB_百分比"
"15","6","7","9","25","8","17","3","5","5","5","11","41","11","59","11","59","7","20","11","56","12","67","9","24","8","24"
"16","6","7","9","25","9","21","4","7","5","5","11","41","11","59","11","59","8","27","12","74","12","67","9","24","9","40"
"17","6","7","9","25","9","21","4","7","6","5","12","50","12","74","11","59","8","27","12","74","13","75","10","39","9","40"
"18","6","7","10","32","9","21","5","10","6","5","12","50","12","74","12","73","9","30","13","85","14","86","11","63","10","56"
"19","6","7","10","32","9","21","5","10","7","7","13","68","13","84","12","73","9","30","14","88","14","86","11","63","10","56"
"20","6","7","10","32","10","29","5","10","7","7","14","91","13","84","12","73","9","30","14","88","15","96","12","84","11","64"
"21","7","9","10","32","10","29","6","10","8","14","","","14","90","13","86","10","39","15","94","","","12","84","12","71"
"22","7","9","10","32","10","29","6","10","8","14","","","15","97","13","86","10","39","15","94","","","13","92","12","71"
"23","7","9","11","45","10","29","7","10","9","18","","","","","14","93","11","50","","","","","13","92","13","80"
"24","7","9","11","45","11","38","7","10","9","18","","","","","","","11","50","","","","","14","95","14","89"
"25","7","9","11","45","11","38","7","10","10","18","","","","","","","12","61","","","","","14","95","14","89"
"26","8","14","11","45","11","38","8","12","11","30","","","","","","","12","61","","","","","15",">99","14","89"
"27","8","14","11","45","11","38","8","12","11","30","","","","","","","13","77","","","","","","","14","90"
"28","8","14","12","59","12","50","9","14","12","48","","","","","","","13","77","","","","","","","15","98"
"29","8","14","12","59","12","50","9","14","12","48","","","","","","","14","93","","","","","","","15","98"
"30","8","14","12","59","12","50","9","14","13","77","","","","","","","14","93","","","","","","","16","99"
"31","8","14","12","59","12","50","10","17","","","","","","","","","","","","","","","","","",""
"32","9","18","12","59","13","67","10","17","","","","","","","","","","","","","","","","","",""
"33","9","18","13","68","13","67","11","31","","","","","","","","","","","","","","","","","",""
"34","9","18","13","68","13","67","11","31","","","","","","","","","","","","","","","","","",""
"35","9","18","13","68","14","88","11","31","","","","","","","","","","","","","","","","","",""
"36","9","18","13","68","14","88","12","62","","","","","","","","","","","","","","","","","",""
"37","10","20","14","82","14","88","12","62","","","","","","","","","","","","","","","","","",""
"38","10","20","14","82","14","88","13","86","","","","","","","","","","","","","","","","","",""
"39","10","20","14","82","","","13","86","","","","","","","","","","","","","","","","","",""
"40","10","20","14","82","","","14","95","","","","","","","","","","","","","","","","","",""
"41","11","32","15","95","","","","","","","","","","","","","","","","","","","","","",""
"42","11","32","15","95","","","","","","","","","","","","","","","","","","","","","",""
"43","11","32","15","95","","","","","","","","","","","","","","","","","","","","","",""
"44","11","32","16",">99","","","","","","","","","","","","","","","","","","","","","",""
"45","12","41","16",">99","","","","","","","","","","","","","","","","","","","","","",""
"46","12","41","16",">99","","","","","","","","","","","","","","","","","","","","","",""
"47","12","41","17",">99","","","","","","","","","","","","","","","","","","","","","",""
"48","12","41","17",">99","","","","","","","","","","","","","","","","","","","","","",""
"49","13","48","17",">99","","","","","","","","","","","","","","","","","","","","","",""
"50","13","48","17",">99","","","","","","","","","","","","","","","","","","","","","",""
"51","13","48","","","","","","","","","","","","","","","","","","","","","","","",""
"52","13","48","","","","","","","","","","","","","","","","","","","","","","","",""
"53","13","48","","","","","","","","","","","","","","","","","","","","","","","",""
"54","14","64","","","","","","","","","","","","","","","","","","","","","","","",""
"55","14","64","","","","","","","","","","","","","","","","","","","","","","","",""
"56","14","64","","","","","","","","","","","","","","","","","","","","","","","",""
"57","14","64","","","","","","","","","","","","","","","","","","","","","","","",""
"58","15","77","","","","","","","","","","","","","","","","","","","","","","","",""
"59","15","77","","","","","","","","","","","","","","","","","","","","","","","",""
"60","15","77","","","","","","","","","","","","","","","","","","","","","","","",""
"61","15","77","","","","","","","","","","","","","","","","","","","","","","","",""
"62","15","77","","","","","","","","","","","","","","","","","","","","","","","",""
"63","16","91","","","","","","","","","","","","","","","","","","","","","","","",""
"64","16","91","","","","","","","","","","","","","","","","","","","","","","","",""
"65","16","91","","","","","","","","","","","","","","","","","","","","","","","",""
"66","16","91","","","","","","","","","","","","","","","","","","","","","","","",""
"67","16","91","","","","","","","","","","","","","","","","","","","","","","","",""
"68","16","91","","","","","","","","","","","","","","","","","","","","","","","",""
"SEM","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1",""
