"原始分","CVP_标准分","CVP_百分比","EL_标准分","EL_百分比","RL_标准分","RL_百分比","FM_标准分","FM_百分比","GM_标准分","GM_百分比","VMI_标准分","VMI_百分比","AE_标准分","AE_百分比","SR_标准分","SR_百分比","CMB_标准分","CMB_百分比","CVB_标准分","CVB_百分比","PB_标准分","PB_百分比","PSC_标准分","PSC_百分比","AB_标准分","AB_百分比"
"0","1","<5","2","<6","3","<5","1","5","1","5","1","5","4","<1","4","2","1","<5","2","<6","1","<7","1","<7","1","<1"
"1","1","<5","2","<6","3","<5","1","5","1","5","2","10","4","<1","4","2","1","<5","3","<6","1","<7","1","<7","1","<1"
"2","2","<5","2","<6","3","<5","1","5","1","5","2","10","5","1","5","4","1","<5","3","<6","2","<7","1","<7","2","<1"
"3","2","<5","3","<6","4","5","1","5","1","5","2","10","5","1","5","4","1","<5","4","<6","2","<7","1","<7","2","<1"
"4","2","<5","3","<6","4","5","1","5","1","5","3","10","6","5","6","7","1","<5","4","<6","2","<7","1","<7","3","1"
"5","2","<5","3","<6","4","5","1","5","1","5","3","10","6","5","6","7","1","<5","5","<6","3","<7","1","<7","3","1"
"6","3","5","4","<6","5","15","1","5","1","5","4","10","7","15","7","12","1","<5","6","6","4","<7","1","<7","4","2"
"7","3","5","4","<6","5","15","1","5","1","5","5","10","7","15","7","12","1","<5","6","6","4","<7","1","<7","4","2"
"8","3","5","4","<6","5","15","1","5","1","5","5","10","7","15","7","12","2","<5","7","19","5","<7","1","<7","5","5"
"9","3","5","4","<6","6","20","1","5","1","5","6","10","8","26","8","18","2","<5","7","19","5","<7","2","<7","5","5"
"10","3","5","5","<6","6","20","1","5","1","5","6","10","8","26","8","18","3","<5","8","25","6","7","2","<7","6","8"
"11","4","10","5","<6","6","20","1","5","1","5","7","10","9","38","9","41","3","<5","8","25","7","7","3","<7","6","8"
"12","4","10","5","<6","6","20","1","5","1","5","8","15","9","38","9","41","4","<5","9","38","8","21","3","<7","7","14"
"13","4","10","6","6","7","20","1","5","2","10","8","15","10","49","10","50","4","<5","10","63","8","21","4","7","7","14"
"14","4","10","6","6","7","20","1","5","2","10","9","25","10","49","10","50","5","5","10","63","9","29","4","7","8","24"
"15","4","10","6","6","7","20","1","5","3","10","9","25","11","59","11","59","5","5","11","88","10","29","5","14","8","24"
"16","4","10","6","6","7","20","1","5","3","10","10","40","11","59","11","59","6","10","11","88","11","36","6","14","9","40"
"17","5","10","7","13","8","20","2","10","4","10","10","40","12","74","11","59","6","10","12",">99","11","36","7","14","9","40"
"18","5","10","7","13","8","20","2","10","4","10","11","55","12","74","12","73","7","20","12",">99","12","50","8","14","10","56"
"19","5","10","7","13","8","20","3","10","5","10","12","80","13","84","12","73","7","20","13",">99","13","71","9","29","10","56"
"20","5","10","7","13","8","20","3","10","6","10","12","80","13","84","12","73","8","35","13",">99","14","93","10","43","11","64"
"21","5","10","7","13","9","25","4","10","6","10","","","14","90","13","86","9","45","14",">99","","","11","50","12","71"
"22","6","15","8","13","9","25","4","10","7","10","","","15","97","13","86","9","45","15",">99","","","12","79","12","71"
"23","6","15","8","13","9","25","4","10","7","10","","","","","14","93","10","65","15",">99","","","12","79","13","80"
"24","6","15","8","13","10","35","5","10","8","10","","","","","","","10","65","","","","","13","97","14","90"
"25","6","15","8","13","10","35","5","10","9","15","","","","","","","11","90","","","","","13","97","14","90"
"26","6","15","8","13","10","35","6","10","9","15","","","","","","","11","90","","","","","14",">99","14","90"
"27","7","20","9","13","10","35","6","10","10","25","","","","","","","12",">99","","","","","","","14","90"
"28","7","20","9","13","11","50","7","10","11","40","","","","","","","12",">99","","","","","","","15","98"
