"原始分","CVP_标准分","CVP_百分比","EL_标准分","EL_百分比","RL_标准分","RL_百分比","FM_标准分","FM_百分比","GM_标准分","GM_百分比","VMI_标准分","VMI_百分比","AE_标准分","AE_百分比","SR_标准分","SR_百分比","CMB_标准分","CMB_百分比","CVB_标准分","CVB_百分比","PB_标准分","PB_百分比","PSC_标准分","PSC_百分比","AB_标准分","AB_百分比"
"29","7","20","9","13","11","50","7","10","12","50","","","","","","","13",">99","","","","","","","15","98"
"30","7","20","10","25","11","50","8","15","13","75","","","","","","","13",">99","","","","","","","16","99"
"31","7","20","10","25","11","50","8","15","","","","","","","","","","","","","","","","","",""
"32","7","20","10","25","12","70","8","15","","","","","","","","","","","","","","","","","",""
"33","8","25","11","50","12","70","9","25","","","","","","","","","","","","","","","","","",""
"34","8","25","11","50","12","70","9","25","","","","","","","","","","","","","","","","","",""
"35","8","25","11","50","12","70","10","35","","","","","","","","","","","","","","","","","",""
"36","8","25","12","81","13","90","10","35","","","","","","","","","","","","","","","","","",""
"37","8","25","12","81","13","90","11","45","","","","","","","","","","","","","","","","","",""
"38","8","25","12","81","13","90","11","45","","","","","","","","","","","","","","","","","",""
"39","9","30","12","81","","","12","75","","","","","","","","","","","","","","","","","",""
"40","9","30","12","81","","","12","75","","","","","","","","","","","","","","","","","",""
"41","9","30","13",">99","","","","","","","","","","","","","","","","","","","","","",""
"42","9","30","13",">99","","","","","","","","","","","","","","","","","","","","","",""
"43","9","30","13",">99","","","","","","","","","","","","","","","","","","","","","",""
"44","9","30","14",">99","","","","","","","","","","","","","","","","","","","","","",""
"45","10","35","14",">99","","","","","","","","","","","","","","","","","","","","","",""
"46","10","35","14",">99","","","","","","","","","","","","","","","","","","","","","",""
"47","10","35","15",">99","","","","","","","","","","","","","","","","","","","","","",""
"48","10","35","15",">99","","","","","","","","","","","","","","","","","","","","","",""
"49","10","35","15",">99","","","","","","","","","","","","","","","","","","","","","",""
"50","10","35","16",">99","","","","","","","","","","","","","","","","","","","","","",""
"51","11","50","","","","","","","","","","","","","","","","","","","","","","","",""
"52","11","50","","","","","","","","","","","","","","","","","","","","","","","",""
"53","11","50","","","","","","","","","","","","","","","","","","","","","","","",""
"54","11","50","","","","","","","","","","","","","","","","","","","","","","","",""
"55","11","50","","","","","","","","","","","","","","","","","","","","","","","",""
"56","11","50","","","","","","","","","","","","","","","","","","","","","","","",""
"57","12","70","","","","","","","","","","","","","","","","","","","","","","","",""
"58","12","70","","","","","","","","","","","","","","","","","","","","","","","",""
"59","12","70","","","","","","","","","","","","","","","","","","","","","","","",""
"60","12","70","","","","","","","","","","","","","","","","","","","","","","","",""
"61","12","70","","","","","","","","","","","","","","","","","","","","","","","",""
"62","12","70","","","","","","","","","","","","","","","","","","","","","","","",""
"63","13","90","","","","","","","","","","","","","","","","","","","","","","","",""
"64","13","90","","","","","","","","","","","","","","","","","","","","","","","",""
"65","13","90","","","","","","","","","","","","","","","","","","","","","","","",""
"66","13","90","","","","","","","","","","","","","","","","","","","","","","","",""
"67","14",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"68","14",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"SEM","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1",""
