"原始分","CVP_标准分","CVP_百分比","EL_标准分","EL_百分比","RL_标准分","RL_百分比","FM_标准分","FM_百分比","GM_标准分","GM_百分比","VMI_标准分","VMI_百分比","AE_标准分","AE_百分比","SR_标准分","SR_百分比","CMB_标准分","CMB_百分比","CVB_标准分","CVB_百分比","PB_标准分","PB_百分比","PSC_标准分","PSC_百分比","AB_标准分","AB_百分比"
"0","5","<4","6","12","6","4","1","<6","2","<2","4","<6","5","2","5","3","1","<2","3","<4","2","1","2","<3","2","1"
"1","5","<4","6","12","6","4","1","<6","3","<2","5","<6","5","2","5","3","2","<2","4","<4","3","3","2","<3","2","1"
"2","5","<4","7","31","7","15","1","<6","3","<2","6","6","6","6","6","9","2","<2","5","4","4","4","3","<3","3","2"
"3","5","<4","7","31","7","15","1","<6","3","<2","6","6","6","6","6","9","3","2","5","4","4","4","3","<3","3","2"
"4","5","<4","8","43","7","15","2","<6","4","2","7","15","7","15","7","17","3","2","6","12","5","8","4","<3","4","5"
"5","6","4","8","43","8","35","2","<6","4","2","7","15","7","15","7","17","4","4","6","12","5","8","5","<3","4","5"
"6","6","4","8","43","8","35","3","<6","4","2","8","27","8","25","7","17","4","4","7","15","6","14","5","<3","5","8"
"7","6","4","8","43","8","35","3","<6","5","10","8","27","8","25","8","28","4","4","8","15","6","14","6","3","5","8"
"8","6","4","9","52","8","35","3","<6","5","10","9","40","8","25","8","28","5","4","8","15","7","19","7","18","6","12"
"9","6","4","9","52","9","59","4","<6","6","20","9","40","9","35","9","41","5","4","9","31","8","25","7","18","6","12"
"10","7","13","9","52","9","59","4","<6","6","20","10","50","9","35","9","41","6","4","9","31","9","33","8","32","7","20"
"11","7","13","10","62","9","59","4","<6","6","20","10","50","10","45","10","50","7","6","10","50","9","33","9","39","7","20"
"12","7","13","10","62","9","59","5","<6","6","20","11","60","10","45","10","50","7","6","11","62","10","41","9","39","8","31"
"13","7","13","10","62","10","72","5","<6","7","24","11","60","11","58","11","59","8","14","12","73","11","54","10","53","8","31"
"14","7","13","10","62","10","72","5","<6","7","24","12","71","11","58","11","59","8","14","12","73","11","54","11","61","9","42"
"15","8","23","11","71","10","72","6","6","8","30","12","71","12","68","12","73","8","14","12","73","12","67","11","61","9","42"
"16","8","23","11","71","11","74","6","6","8","30","13","81","12","68","12","73","8","14","13","88","12","67","12","76","10","50"
"17","8","23","11","71","11","74","7","17","9","42","14","92","13","81","12","73","9","28","13","88","13","75","12","76","10","50"
"18","8","23","12","79","11","74","7","17","9","42","14","92","13","81","13","86","9","28","14",">99","14","86","13","92","11","58"
"19","8","23","12","79","12","76","7","17","9","42","15",">99","14","91","13","86","10","44","15",">99","14","86","14","97","11","58"
"20","9","40","12","79","12","76","8","29","10","50","15",">99","14","91","13","86","10","44","15",">99","15","96","14","97","12","70"
"21","9","40","13","86","12","76","8","29","10","50","","","15","97","14","93","11","58","16",">99","","","15",">99","12","70"
"22","9","40","13","86","12","76","8","29","11","60","","","15","97","14","93","11","58","16",">99","","","15",">99","13","80"
"23","9","40","13","86","13","83","9","40","11","60","","","","","15","98","12","72","","","","","16",">99","13","80"
"24","9","40","13","86","13","83","9","40","11","60","","","","","","","12","72","","","","","16",">99","14","89"
"25","10","56","14","93","13","83","9","40","12","70","","","","","","","13","84","","","","","17",">99","14","89"
"26","10","56","14","93","13","83","10","44","12","70","","","","","","","13","84","","","","","17",">99","14","89"
"27","10","56","14","93","14","89","10","44","13","82","","","","","","","14","92","","","","","","","15","97"
"28","10","56","14","93","14","89","11","52","13","82","","","","","","","14","92","","","","","","","15","97"
"29","10","56","14","93","14","89","11","52","14","96","","","","","","","15","98","","","","","","","16",">99"
"30","11","67","15","95","15","93","11","52","14","96","","","","","","","15","98","","","","","","","16",">99"
"31","11","67","15","95","15","93","12","69","","","","","","","","","","","","","","","","","",""
"32","11","67","15","95","15","93","12","69","","","","","","","","","","","","","","","","","",""
"33","12","75","15","95","15","93","12","69","","","","","","","","","","","","","","","","","",""
"34","12","75","15","95","16","98","13","85","","","","","","","","","","","","","","","","","",""
"35","12","75","16","98","16","98","13","85","","","","","","","","","","","","","","","","","",""
"36","12","75","16","98","16","98","14","96","","","","","","","","","","","","","","","","","",""
"37","13","81","16","98","17",">99","14","96","","","","","","","","","","","","","","","","","",""
"38","13","81","16","98","17",">99","14","96","","","","","","","","","","","","","","","","","",""
"39","13","81","17",">99","","","15",">99","","","","","","","","","","","","","","","","","",""
"40","13","81","17",">99","","","15",">99","","","","","","","","","","","","","","","","","",""
"41","14","85","17",">99","","","16",">99","","","","","","","","","","","","","","","","","",""
"42","14","85","17",">99","","","16",">99","","","","","","","","","","","","","","","","","",""
"43","14","85","18",">99","","","","","","","","","","","","","","","","","","","","","",""
"44","14","85","18",">99","","","","","","","","","","","","","","","","","","","","","",""
"45","14","85","18",">99","","","","","","","","","","","","","","","","","","","","","",""
"46","15","92","18",">99","","","","","","","","","","","","","","","","","","","","","",""
"47","15","92","19",">99","","","","","","","","","","","","","","","","","","","","","",""
"48","15","92","19",">99","","","","","","","","","","","","","","","","","","","","","",""
"49","15","92","19",">99","","","","","","","","","","","","","","","","","","","","","",""
"50","15","92","19",">99","","","","","","","","","","","","","","","","","","","","","",""
"51","16","96","","","","","","","","","","","","","","","","","","","","","","","",""
"52","16","96","","","","","","","","","","","","","","","","","","","","","","","",""
"53","16","96","","","","","","","","","","","","","","","","","","","","","","","",""
"54","16","96","","","","","","","","","","","","","","","","","","","","","","","",""
"55","17","98","","","","","","","","","","","","","","","","","","","","","","","",""
"56","17","98","","","","","","","","","","","","","","","","","","","","","","","",""
"57","17","98","","","","","","","","","","","","","","","","","","","","","","","",""
"58","17","98","","","","","","","","","","","","","","","","","","","","","","","",""
"59","18",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"60","18",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"61","18",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"62","18",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"63","18",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"64","19",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"65","19",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"66","19",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"67","19",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"68","19",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"SEM","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1",""
