"原始分","CVP_标准分","CVP_百分比","EL_标准分","EL_百分比","RL_标准分","RL_百分比","FM_标准分","FM_百分比","GM_标准分","GM_百分比","VMI_标准分","VMI_百分比","AE_标准分","AE_百分比","SR_标准分","SR_百分比","CMB_标准分","CMB_百分比","CVB_标准分","CVB_百分比","PB_标准分","PB_百分比","PSC_标准分","PSC_百分比","AB_标准分","AB_百分比"
"0","2","<4","5","8","4","2","1","2","1","<2","2","2","4","<1","4","2","1","<2","3","<3","2","1","1","<3","1","<1"
"1","3","<4","5","8","4","2","1","2","1","<2","2","2","4","<1","4","2","1","<2","3","<3","3","3","1","<3","1","<1"
"2","3","<4","5","8","4","2","1","2","1","<2","3","6","5","1","5","4","1","<2","4","3","4","4","1","<3","2","<1"
"3","3","<4","6","25","5","13","1","2","1","<2","3","6","5","1","5","4","1","<2","4","3","4","4","1","<3","2","<1"
"4","3","<4","6","25","5","13","1","2","1","<2","4","10","6","5","6","7","1","<2","5","9","5","8","1","<3","3","1"
"5","3","<4","6","25","5","13","1","2","1","<2","5","16","6","5","6","7","2","<2","5","9","5","8","1","<3","3","1"
"6","3","<4","6","25","5","13","1","2","1","<2","5","16","7","15","7","12","2","<2","6","18","6","14","2","<3","4","2"
"7","4","4","7","40","6","23","1","2","1","<2","6","24","7","15","7","12","2","<2","7","26","6","14","3","<3","4","2"
"8","4","4","7","40","6","23","1","2","1","<2","6","24","7","15","7","12","3","2","7","26","7","19","3","<3","5","5"
"9","4","4","7","40","6","23","1","2","2","<2","7","30","8","26","8","18","3","2","8","38","8","25","4","3","5","5"
"10","4","4","8","50","6","23","1","2","2","<2","7","30","8","26","8","18","4","7","8","38","9","33","5","8","6","8"
"11","4","4","8","50","7","27","1","2","2","<2","8","36","9","38","9","41","4","7","9","53","9","33","5","8","6","8"
"12","5","12","8","50","7","27","1","2","2","<2","9","48","9","38","9","41","5","16","10","65","10","41","6","13","7","14"
"13","5","12","8","50","7","27","2","4","3","<2","9","48","10","49","10","50","5","16","10","65","11","54","7","15","7","14"
"14","5","12","8","50","8","42","2","4","3","<2","10","56","10","49","10","50","6","25","11","76","11","54","7","15","8","24"
"15","5","12","8","50","8","42","3","4","4","2","10","56","11","59","11","59","6","25","11","76","12","67","8","18","8","24"
"16","5","12","9","58","8","42","3","4","4","2","11","60","11","59","11","59","7","27","12","85","12","67","9","35","9","40"
"17","5","12","9","58","8","42","3","4","5","4","12","68","12","74","11","59","7","27","12","85","13","75","9","35","9","40"
"18","6","22","9","58","9","58","4","4","5","4","12","68","12","74","12","73","8","30","13","91","14","86","10","58","10","56"
"19","6","22","9","58","9","58","4","4","6","6","13","86","13","84","12","73","8","30","14","94","14","86","11","73","10","56"
"20","6","22","9","58","9","58","5","6","6","6","13","86","13","84","12","73","9","36","14","94","15","96","11","73","11","64"
"21","6","22","10","60","9","58","5","6","7","8","","","14","90","13","86","9","36","15","97","","","12","85","12","71"
"22","6","22","10","60","10","63","6","10","7","8","","","15","97","13","86","10","45","15","97","","","13","90","12","71"
"23","6","22","10","60","10","63","6","10","8","10","","","","","14","93","10","45","","","","","13","90","13","80"
"24","7","34","10","60","10","63","6","10","9","28","","","","","","","11","59","","","","","14","95","14","89"
"25","7","34","10","60","10","63","7","19","9","28","","","","","","","11","59","","","","","14","95","14","89"
"26","7","34","11","65","11","63","7","19","10","50","","","","","","","12","80","","","","","15",">99","14","89"
"27","7","34","11","65","11","63","8","29","11","60","","","","","","","12","80","","","","","","","14","90"
"28","7","34","11","65","11","63","8","29","11","60","","","","","","","13","93","","","","","","","15","98"
"29","8","48","11","65","12","71","8","29","12","72","","","","","","","13","93","","","","","","","15","98"
"30","8","48","11","65","12","71","9","38","13","90","","","","","","","14","98","","","","","","","16","99"
"31","8","48","12","75","12","71","9","38","","","","","","","","","","","","","","","","","",""
"32","8","48","12","75","12","71","10","48","","","","","","","","","","","","","","","","","",""
"33","8","48","12","75","13","81","10","48","","","","","","","","","","","","","","","","","",""
"34","8","48","12","75","13","81","11","60","","","","","","","","","","","","","","","","","",""
"35","9","58","12","75","13","81","11","60","","","","","","","","","","","","","","","","","",""
"36","9","58","13","80","14","92","11","60","","","","","","","","","","","","","","","","","",""
"37","9","58","13","80","14","92","12","73","","","","","","","","","","","","","","","","","",""
"38","9","58","13","80","14","92","12","73","","","","","","","","","","","","","","","","","",""
"39","9","58","14","80","","","13","90","","","","","","","","","","","","","","","","","",""
"40","10","62","14","80","","","13","90","","","","","","","","","","","","","","","","","",""
"41","10","62","14","80","","","","","","","","","","","","","","","","","","","","","",""
"42","10","62","15","85","","","","","","","","","","","","","","","","","","","","","",""
"43","10","62","15","85","","","","","","","","","","","","","","","","","","","","","",""
"44","10","62","15","85","","","","","","","","","","","","","","","","","","","","","",""
"45","11","64","16","93","","","","","","","","","","","","","","","","","","","","","",""
"46","11","64","16","93","","","","","","","","","","","","","","","","","","","","","",""
"47","11","64","16","93","","","","","","","","","","","","","","","","","","","","","",""
"48","11","64","17","98","","","","","","","","","","","","","","","","","","","","","",""
"49","12","66","17","98","","","","","","","","","","","","","","","","","","","","","",""
"50","12","66","17","98","","","","","","","","","","","","","","","","","","","","","",""
"51","12","66","","","","","","","","","","","","","","","","","","","","","","","",""
"52","12","66","","","","","","","","","","","","","","","","","","","","","","","",""
"53","13","70","","","","","","","","","","","","","","","","","","","","","","","",""
"54","13","70","","","","","","","","","","","","","","","","","","","","","","","",""
"55","13","70","","","","","","","","","","","","","","","","","","","","","","","",""
"56","13","70","","","","","","","","","","","","","","","","","","","","","","","",""
"57","13","70","","","","","","","","","","","","","","","","","","","","","","","",""
"58","14","78","","","","","","","","","","","","","","","","","","","","","","","",""
"59","14","78","","","","","","","","","","","","","","","","","","","","","","","",""
"60","14","78","","","","","","","","","","","","","","","","","","","","","","","",""
"61","14","78","","","","","","","","","","","","","","","","","","","","","","","",""
"62","14","78","","","","","","","","","","","","","","","","","","","","","","","",""
"63","15","92","","","","","","","","","","","","","","","","","","","","","","","",""
"64","15","92","","","","","","","","","","","","","","","","","","","","","","","",""
"65","15","92","","","","","","","","","","","","","","","","","","","","","","","",""
"66","15","92","","","","","","","","","","","","","","","","","","","","","","","",""
"67","15","92","","","","","","","","","","","","","","","","","","","","","","","",""
"68","15","92","","","","","","","","","","","","","","","","","","","","","","","",""
"SEM","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1",""
