"原始分","CVP_标准分","CVP_百分比","EL_标准分","EL_百分比","RL_标准分","RL_百分比","FM_标准分","FM_百分比","GM_标准分","GM_百分比","VMI_标准分","VMI_百分比","AE_标准分","AE_百分比","SR_标准分","SR_百分比","CMB_标准分","CMB_百分比","CVB_标准分","CVB_百分比","PB_标准分","PB_百分比","PSC_标准分","PSC_百分比","AB_标准分","AB_百分比"
"0","5","<6","6","3","6","3","1","<2","3","<2","5","3","5","2","5","3","2","<2","4","4","2","1","2","<2","2","1"
"1","5","<6","7","21","7","14","2","<2","4","2","5","3","5","2","5","3","2","<2","5","7","3","3","3","<2","2","1"
"2","6","6","7","21","7","14","2","<2","4","2","6","6","6","6","6","9","3","2","6","7","4","4","3","<2","3","2"
"3","6","6","8","41","8","25","2","<2","4","2","7","13","6","6","6","9","3","2","6","7","4","4","4","<2","3","2"
"4","6","6","8","41","8","25","3","2","5","6","7","13","7","15","7","17","4","6","7","7","5","8","5","2","4","5"
"5","6","6","8","41","8","25","3","2","5","6","8","22","7","15","7","17","4","6","7","7","5","8","5","2","4","5"
"6","6","6","9","48","9","36","3","2","5","6","8","22","8","25","7","17","4","6","8","7","6","14","6","7","5","8"
"7","7","16","9","48","9","36","4","6","6","9","9","30","8","25","8","28","5","10","9","11","6","14","7","14","5","8"
"8","7","16","9","48","9","36","4","6","6","9","9","30","8","25","8","28","5","10","9","11","7","19","7","14","6","12"
"9","7","16","10","50","9","36","4","6","7","17","10","39","9","35","9","41","6","11","10","25","8","25","8","29","6","12"
"10","7","16","10","50","10","45","5","10","7","17","10","39","9","35","9","41","7","15","10","25","9","33","9","43","7","20"
"11","7","16","10","50","10","45","5","10","7","17","11","47","10","45","10","50","7","15","11","39","9","33","9","43","7","20"
"12","8","24","11","60","10","45","6","11","7","17","12","59","10","45","10","50","8","19","12","50","10","41","10","48","8","31"
"13","8","24","11","60","11","53","6","11","8","27","12","59","11","58","11","59","8","19","12","50","11","54","11","59","8","31"
"14","8","24","11","60","11","53","6","11","8","27","13","83","11","58","11","59","8","19","13","71","11","54","11","59","9","42"
"15","8","24","12","72","11","53","7","16","9","28","13","83","12","68","12","73","8","19","13","71","12","67","12","70","9","42"
"16","9","35","12","72","12","64","7","16","9","28","14","97","12","68","12","73","9","27","14","89","12","67","13","79","10","50"
"17","9","35","12","72","12","64","7","16","9","28","15","98","13","81","12","73","9","27","14","89","13","75","13","79","10","50"
"18","9","35","13","78","12","64","8","24","10","34","15","98","13","81","13","86","10","39","15","93","14","86","14","86","11","58"
"19","9","35","13","78","13","72","8","24","10","34","16",">99","14","91","13","86","10","39","16","96","14","86","15","91","11","58"
"20","9","35","13","78","13","72","8","24","11","47","16",">99","14","91","13","86","11","53","16","96","15","96","15","91","12","70"
"21","10","48","14","81","13","72","9","31","11","47","","","15","97","14","93","11","53","17",">99","","","16","96","12","70"
"22","10","48","14","81","13","72","9","31","12","59","","","15","97","14","93","12","66","17",">99","","","16","96","13","80"
"23","10","48","14","81","14","80","10","40","12","59","","","","","15","98","12","66","","","","","17","98","13","80"
"24","10","48","14","80","14","80","10","40","12","59","","","","","","","13","81","","","","","18",">99","14","89"
"25","10","48","14","80","14","80","10","40","13","72","","","","","","","13","81","","","","","18",">99","14","89"
"26","10","48","15","89","14","80","11","55","13","72","","","","","","","14","84","","","","","19",">99","14","89"
"27","11","55","15","89","15","89","11","55","13","72","","","","","","","14","84","","","","","","","15","97"
"28","11","55","15","89","15","89","11","55","14","77","","","","","","","15","90","","","","","","","15","97"
"29","11","55","15","89","15","89","12","68","14","77","","","","","","","15","90","","","","","","","16",">99"
"30","11","55","16","95","15","89","12","68","15","84","","","","","","","15","90","","","","","","","16",">99"
"31","11","55","16","95","16","95","12","68","15","84","","","","","","","","","","","","","","","",""
"32","12","63","16","95","16","95","12","68","15","84","","","","","","","","","","","","","","","",""
"33","12","63","16","95","16","95","13","79","16",">99","","","","","","","","","","","","","","","",""
"34","12","63","16","95","17",">99","13","79","","","","","","","","","","","","","","","","","",""
"35","12","63","17",">99","17",">99","13","79","","","","","","","","","","","","","","","","","",""
"36","13","72","17",">99","17",">99","14","87","","","","","","","","","","","","","","","","","",""
"37","13","72","17",">99","18",">99","14","87","","","","","","","","","","","","","","","","","",""
"38","13","72","17",">99","18",">99","14","87","","","","","","","","","","","","","","","","","",""
"39","13","72","18",">99","","","15",">99","","","","","","","","","","","","","","","","","",""
"40","14","81","18",">99","","","15",">99","","","","","","","","","","","","","","","","","",""
"41","14","81","18",">99","","","16",">99","","","","","","","","","","","","","","","","","",""
"42","14","81","18",">99","","","16",">99","","","","","","","","","","","","","","","","","",""
"43","14","81","19",">99","","","","","","","","","","","","","","","","","","","","","",""
"44","14","81","19",">99","","","","","","","","","","","","","","","","","","","","","",""
"45","15","84","19",">99","","","","","","","","","","","","","","","","","","","","","",""
"46","15","84","19",">99","","","","","","","","","","","","","","","","","","","","","",""
"47","15","84","20",">99","","","","","","","","","","","","","","","","","","","","","",""
"48","16","95","20",">99","","","","","","","","","","","","","","","","","","","","","",""
"49","16","95","20",">99","","","","","","","","","","","","","","","","","","","","","",""
"50","16","95","20",">99","","","","","","","","","","","","","","","","","","","","","",""
"51","17","97","","","","","","","","","","","","","","","","","","","","","","","",""
"52","17","97","","","","","","","","","","","","","","","","","","","","","","","",""
"53","17","97","","","","","","","","","","","","","","","","","","","","","","","",""
"54","17","97","","","","","","","","","","","","","","","","","","","","","","","",""
"55","18","97","","","","","","","","","","","","","","","","","","","","","","","",""
"56","18","97","","","","","","","","","","","","","","","","","","","","","","","",""
"57","18","97","","","","","","","","","","","","","","","","","","","","","","","",""
"58","18","97","","","","","","","","","","","","","","","","","","","","","","","",""
"59","19","98","","","","","","","","","","","","","","","","","","","","","","","",""
"60","19","98","","","","","","","","","","","","","","","","","","","","","","","",""
"61","19","98","","","","","","","","","","","","","","","","","","","","","","","",""
"62","19","98","","","","","","","","","","","","","","","","","","","","","","","",""
"63","19","98","","","","","","","","","","","","","","","","","","","","","","","",""
"64","20",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"65","20",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"66","20",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"67","20",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"68","20",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"SEM","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1",""
