"原始分","CVP_标准分","CVP_百分比","EL_标准分","EL_百分比","RL_标准分","RL_百分比","FM_标准分","FM_百分比","GM_标准分","GM_百分比","VMI_标准分","VMI_百分比","AE_标准分","AE_百分比","SR_标准分","SR_百分比","CMB_标准分","CMB_百分比","CVB_标准分","CVB_百分比","PB_标准分","PB_百分比","PSC_标准分","PSC_百分比","AB_标准分","AB_百分比"
"0","2","<2","4","<2","3","<2","1","2","1","<2","1","<2","4","<1","4","2","1","<2","3","<3","1","<6","1","<6","1","<1"
"1","2","<2","4","<2","3","<2","1","2","1","<2","2","<2","4","<1","4","2","1","<2","3","<3","2","<6","1","<6","1","<1"
"2","2","<2","4","<2","4","<2","1","2","1","<2","2","<2","5","1","5","4","1","<2","4","<3","3","<6","1","<6","2","<1"
"3","3","<2","5","2","4","<2","1","2","1","<2","3","2","5","1","5","4","1","<2","4","<3","3","<6","1","<6","2","<1"
"4","3","<2","5","2","4","<2","1","2","1","<2","3","2","6","5","6","7","1","<2","5","<3","4","6","1","<6","3","1"
"5","3","<2","5","2","5","2","1","2","1","<2","4","4","6","5","6","7","2","<2","5","<3","4","6","1","<6","3","1"
"6","3","<2","6","5","5","2","1","2","1","<2","5","7","7","15","7","12","2","<2","6","3","5","11","2","<6","4","2"
"7","3","<2","6","5","5","2","1","2","1","<2","5","7","7","15","7","12","2","<2","7","11","6","11","2","<6","4","2"
"8","3","<2","6","5","5","2","1","2","1","<2","6","9","7","15","7","12","3","2","7","11","6","11","3","<6","5","5"
"9","4","2","7","7","6","7","1","2","1","<2","6","9","8","26","8","18","3","2","8","21","7","14","3","<6","5","5"
"10","4","2","7","7","6","7","1","2","1","<2","7","9","8","26","8","18","4","7","8","21","8","19","4","<6","6","8"
"11","4","2","7","7","6","7","1","2","1","<2","8","13","9","38","9","41","4","7","9","29","9","31","4","<6","6","8"
"12","4","2","7","7","6","7","1","2","1","<2","8","13","9","38","9","41","5","16","10","37","9","31","5","<6","7","14"
"13","4","2","7","7","7","11","1","2","2","2","9","22","10","49","10","50","5","16","10","37","10","44","6","<6","7","14"
"14","4","2","8","12","7","11","1","2","2","2","9","22","10","49","10","50","6","25","11","47","11","56","6","<6","8","24"
"15","5","4","8","12","7","11","2","4","3","4","10","30","11","59","11","59","6","25","11","47","11","56","7","<6","8","24"
"16","5","4","8","12","8","16","2","4","3","4","11","39","11","59","11","59","7","27","12","55","12","69","8","6","9","40"
"17","5","4","8","12","8","16","3","4","4","4","11","39","12","74","11","59","7","27","12","55","13","81","9","22","9","40"
"18","5","4","8","12","8","16","3","4","4","4","12","65","12","74","12","73","8","30","13","58","13","81","9","22","10","56"
"19","5","4","9","21","8","16","4","4","5","4","12","65","13","84","12","73","8","30","14","71","14","89","10","38","10","56"
"20","6","4","9","21","9","18","4","4","6","9","13","93","13","84","12","73","9","36","14","71","15","97","11","50","11","64"
"21","6","4","9","21","9","18","4","4","6","9","","","14","90","13","86","9","36","15","92","","","12","59","12","71"
"22","6","4","9","21","9","18","5","4","7","13","","","15","97","13","86","10","45","15","92","","","12","59","12","71"
"23","6","4","9","21","10","25","5","4","7","13","","","","","14","93","10","45","","","","","13","66","13","80"
"24","7","7","10","33","10","25","5","4","8","16","","","","","","","11","59","","","","","14","81","14","89"
"25","7","7","10","33","10","25","6","6","9","19","","","","","","","11","59","","","","","14","81","14","89"
"26","7","7","10","33","10","25","6","6","9","19","","","","","","","12","80","","","","","15",">99","14","89"
"27","7","7","10","33","10","25","7","7","10","25","","","","","","","12","80","","","","","","","15","97"
"28","7","7","10","33","11","33","7","7","10","25","","","","","","","13","93","","","","","","","15","97"
"29","8","10","10","33","11","33","8","10","11","39","","","","","","","13","93","","","","","","","16",">99"
"30","8","10","10","33","11","33","8","10","12","50","","","","","","","14","98","","","","","","","16",">99"
"31","8","10","11","43","11","33","9","14","","","","","","","","","","","","","","","","","",""
"32","8","10","11","43","12","43","9","14","","","","","","","","","","","","","","","","","",""
"33","8","10","11","43","12","43","10","25","","","","","","","","","","","","","","","","","",""
"34","9","14","11","43","12","43","10","25","","","","","","","","","","","","","","","","","",""
"35","9","14","12","57","12","43","10","25","","","","","","","","","","","","","","","","","",""
"36","9","14","12","57","13","57","11","39","","","","","","","","","","","","","","","","","",""
"37","9","14","12","57","13","57","11","39","","","","","","","","","","","","","","","","","",""
"38","9","14","12","57","13","57","12","50","","","","","","","","","","","","","","","","","",""
"39","10","35","13","83","","","12","50","","","","","","","","","","","","","","","","","",""
"40","10","35","13","83","","","13","70","","","","","","","","","","","","","","","","","",""
"41","10","35","14","83","","","","","","","","","","","","","","","","","","","","","",""
"42","10","35","14","83","","","","","","","","","","","","","","","","","","","","","",""
"43","10","35","14","83","","","","","","","","","","","","","","","","","","","","","",""
"44","10","35","15","85","","","","","","","","","","","","","","","","","","","","","",""
"45","10","35","15","85","","","","","","","","","","","","","","","","","","","","","",""
"46","10","35","15","85","","","","","","","","","","","","","","","","","","","","","",""
"47","10","35","16","98","","","","","","","","","","","","","","","","","","","","","",""
"48","10","35","16","98","","","","","","","","","","","","","","","","","","","","","",""
"49","11","41","16","98","","","","","","","","","","","","","","","","","","","","","",""
"50","11","41","16","98","","","","","","","","","","","","","","","","","","","","","",""
"51","11","41","","","","","","","","","","","","","","","","","","","","","","","",""
"52","11","41","","","","","","","","","","","","","","","","","","","","","","","",""
"53","12","46","","","","","","","","","","","","","","","","","","","","","","","",""
"54","12","46","","","","","","","","","","","","","","","","","","","","","","","",""
"55","12","46","","","","","","","","","","","","","","","","","","","","","","","",""
"56","12","46","","","","","","","","","","","","","","","","","","","","","","","",""
"57","12","46","","","","","","","","","","","","","","","","","","","","","","","",""
"58","13","61","","","","","","","","","","","","","","","","","","","","","","","",""
"59","13","61","","","","","","","","","","","","","","","","","","","","","","","",""
"60","13","61","","","","","","","","","","","","","","","","","","","","","","","",""
"61","13","61","","","","","","","","","","","","","","","","","","","","","","","",""
"62","13","61","","","","","","","","","","","","","","","","","","","","","","","",""
"63","14","87","","","","","","","","","","","","","","","","","","","","","","","",""
"64","14","87","","","","","","","","","","","","","","","","","","","","","","","",""
"65","14","87","","","","","","","","","","","","","","","","","","","","","","","",""
"66","14","87","","","","","","","","","","","","","","","","","","","","","","","",""
"67","14","87","","","","","","","","","","","","","","","","","","","","","","","",""
"68","14","87","","","","","","","","","","","","","","","","","","","","","","","",""
"SEM","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1",""
