"原始分","CVP_标准分","CVP_百分比","EL_标准分","EL_百分比","RL_标准分","RL_百分比","FM_标准分","FM_百分比","GM_标准分","GM_百分比","VMI_标准分","VMI_百分比","AE_标准分","AE_百分比","SR_标准分","SR_百分比","CMB_标准分","CMB_百分比","CVB_标准分","CVB_百分比","PB_标准分","PB_百分比","PSC_标准分","PSC_百分比","AB_标准分","AB_百分比"
"0","4","<4","6","13","6","13","1","2","1","<2","4","6","5","2","5","3","1","<2","3","8","2","1","1","<5","2","1"
"1","4","<4","6","13","6","13","1","2","2","<2","4","6","5","2","5","3","2","2","3","8","3","3","2","<5","2","1"
"2","4","<4","7","28","6","13","1","2","2","<2","5","17","6","6","6","9","2","2","4","15","4","4","2","<5","3","2"
"3","5","4","7","28","6","13","1","2","2","<2","5","17","6","6","6","9","2","2","4","15","4","4","3","<5","3","2"
"4","5","4","7","28","7","31","1","2","3","2","6","22","7","15","7","17","3","4","5","15","5","8","3","<5","4","5"
"5","5","4","8","33","7","31","1","2","3","2","6","22","7","15","7","17","3","4","5","15","5","8","4","<5","4","5"
"6","5","4","8","33","7","31","2","4","3","2","7","28","8","25","7","17","4","6","6","15","6","14","5","5","5","8"
"7","5","4","8","33","8","40","2","4","4","6","8","39","8","25","8","28","4","6","7","23","6","14","5","5","5","8"
"8","6","13","8","33","8","40","2","4","4","6","8","39","8","25","8","28","5","8","7","23","7","19","6","12","6","12"
"9","6","13","9","43","8","40","3","4","5","9","9","46","9","35","9","41","5","8","8","31","8","25","7","29","6","12"
"10","6","13","9","43","8","40","3","4","5","9","9","46","9","35","9","41","6","10","8","31","9","33","7","29","7","20"
"11","6","13","9","43","9","48","4","7","5","9","10","50","10","45","10","50","6","10","9","35","9","33","8","45","7","20"
"12","6","13","9","43","9","48","4","7","5","9","10","50","10","45","10","50","7","17","10","38","10","41","8","45","8","31"
"13","6","13","9","43","9","48","4","7","6","13","11","59","11","58","11","59","7","17","10","38","11","54","9","50","8","31"
"14","7","26","10","55","9","48","5","11","6","13","11","59","11","58","11","59","8","33","11","46","11","54","10","52","9","42"
"15","7","26","10","55","10","52","5","11","7","20","12","69","12","68","12","73","8","33","11","46","12","67","10","52","9","42"
"16","7","26","10","55","10","52","5","11","7","20","12","69","12","68","12","73","8","33","12","62","12","67","11","55","10","50"
"17","7","26","10","55","10","52","6","15","8","33","13","74","13","81","12","73","8","33","12","62","13","75","12","67","10","50"
"18","7","26","11","63","10","52","6","15","8","33","13","74","13","81","13","86","9","42","13","73","14","86","12","67","11","58"
"19","8","41","11","63","11","54","7","26","9","46","14","89","14","91","13","86","9","42","14","85","14","86","13","83","11","58"
"20","8","41","11","63","11","54","7","26","9","46","14","89","14","91","13","86","10","46","14","85","15","96","13","83","12","70"
"21","8","41","12","68","11","54","7","26","9","46","","","15","97","14","93","10","46","15","96","","","14","90","12","70"
"22","8","41","12","68","11","54","8","35","10","56","","","15","97","14","93","11","58","15","96","","","14","90","13","80"
"23","8","41","12","68","12","63","8","35","10","56","","","","","15","98","11","58","","","","","15","93","13","80"
"24","9","52","12","68","12","63","8","35","11","59","","","","","","","12","67","","","","","15","93","14","89"
"25","9","52","13","70","12","63","9","46","11","59","","","","","","","12","67","","","","","16","98","14","89"
"26","9","52","13","70","12","63","9","46","12","65","","","","","","","13","75","","","","","16","98","14","89"
"27","9","52","13","70","13","75","9","46","12","65","","","","","","","13","75","","","","","","","15","97"
"28","9","52","13","70","13","75","10","57","13","80","","","","","","","14","88","","","","","","","15","97"
"29","9","52","13","70","13","75","10","57","13","80","","","","","","","14","88","","","","","","","16",">99"
"30","10","56","14","75","14","81","11","59","14","94","","","","","","","15","98","","","","","","","16",">99"
"31","10","56","14","75","14","81","11","59","","","","","","","","","","","","","","","","","",""
"32","10","56","14","75","14","81","11","59","","","","","","","","","","","","","","","","","",""
"33","11","59","14","75","14","81","12","69","","","","","","","","","","","","","","","","","",""
"34","11","59","15","85","15","88","12","69","","","","","","","","","","","","","","","","","",""
"35","11","59","15","85","15","88","12","69","","","","","","","","","","","","","","","","","",""
"36","11","59","15","85","15","88","13","81","","","","","","","","","","","","","","","","","",""
"37","12","69","15","85","16","96","13","81","","","","","","","","","","","","","","","","","",""
"38","12","69","16","95","16","96","14","93","","","","","","","","","","","","","","","","","",""
"39","12","69","16","95","","","14","93","","","","","","","","","","","","","","","","","",""
"40","12","69","16","95","","","15",">99","","","","","","","","","","","","","","","","","",""
"41","13","76","17",">99","","","","","","","","","","","","","","","","","","","","","",""
"42","13","76","17",">99","","","","","","","","","","","","","","","","","","","","","",""
"43","13","76","17",">99","","","","","","","","","","","","","","","","","","","","","",""
"44","13","76","17",">99","","","","","","","","","","","","","","","","","","","","","",""
"45","13","76","18",">99","","","","","","","","","","","","","","","","","","","","","",""
"46","14","83","18",">99","","","","","","","","","","","","","","","","","","","","","",""
"47","14","83","18",">99","","","","","","","","","","","","","","","","","","","","","",""
"48","14","83","19",">99","","","","","","","","","","","","","","","","","","","","","",""
"49","14","83","19",">99","","","","","","","","","","","","","","","","","","","","","",""
"50","14","83","19",">99","","","","","","","","","","","","","","","","","","","","","",""
"51","15","89","","","","","","","","","","","","","","","","","","","","","","","",""
"52","15","89","","","","","","","","","","","","","","","","","","","","","","","",""
"53","15","89","","","","","","","","","","","","","","","","","","","","","","","",""
"54","15","89","","","","","","","","","","","","","","","","","","","","","","","",""
"55","16","89","","","","","","","","","","","","","","","","","","","","","","","",""
"56","16","89","","","","","","","","","","","","","","","","","","","","","","","",""
"57","16","89","","","","","","","","","","","","","","","","","","","","","","","",""
"58","16","89","","","","","","","","","","","","","","","","","","","","","","","",""
"59","17","94","","","","","","","","","","","","","","","","","","","","","","","",""
"60","17","94","","","","","","","","","","","","","","","","","","","","","","","",""
"61","17","94","","","","","","","","","","","","","","","","","","","","","","","",""
"62","17","94","","","","","","","","","","","","","","","","","","","","","","","",""
"63","17","94","","","","","","","","","","","","","","","","","","","","","","","",""
"64","18",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"65","18",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"66","18",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"67","18",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"68","18",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"SEM","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1",""
