"原始分","CVP_标准分","CVP_百分比","EL_标准分","EL_百分比","RL_标准分","RL_百分比","FM_标准分","FM_百分比","GM_标准分","GM_百分比","VMI_标准分","VMI_百分比","AE_标准分","AE_百分比","SR_标准分","SR_百分比","CMB_标准分","CMB_百分比","CVB_标准分","CVB_百分比","PB_标准分","PB_百分比","PSC_标准分","PSC_百分比","AB_标准分","AB_百分比"
"0","1","<3","3","6","3","6","1","3","1","<3","1","<3","4","<1","4","2","1","<3","2","<3","1","<3","1","<3","1","<1"
"1","1","<3","3","6","3","6","1","3","1","<3","2","<3","4","<1","4","2","1","<3","3","<3","2","<3","1","<3","1","<1"
"2","2","3","4","15","4","11","1","3","1","<3","2","<3","5","1","5","4","1","<3","3","7","2","<3","1","<3","2","<1"
"3","2","3","4","15","4","11","1","3","1","<3","3","<3","5","1","5","4","1","<3","4","7","3","3","1","<3","2","<1"
"4","2","3","4","15","4","11","1","3","1","<3","3","<3","6","5","6","7","1","<3","4","7","3","3","1","<3","3","1"
"5","2","3","4","15","4","11","1","3","1","<3","4","<3","6","5","6","7","1","<3","5","7","4","13","1","<3","3","1"
"6","3","6","5","21","5","14","1","3","1","<3","5","3","7","15","7","12","1","<3","6","7","4","13","1","<3","4","2"
"7","3","6","5","21","5","14","1","3","1","<3","5","3","7","15","7","12","1","<3","6","7","5","21","1","<3","4","2"
"8","3","6","5","21","5","14","1","3","1","<3","5","3","7","15","7","12","2","3","7","29","6","34","2","<3","5","5"
"9","3","6","5","21","6","19","1","3","1","<3","6","9","8","26","8","18","2","3","7","29","6","34","2","<3","5","5"
"10","3","6","6","24","6","19","1","3","1","<3","7","15","8","26","8","18","3","6","8","43","7","47","3","3","6","8"
"11","4","8","6","24","6","19","1","3","1","<3","7","15","9","38","9","41","3","6","8","43","8","47","3","3","6","8"
"12","4","8","6","24","6","19","1","3","1","<3","8","24","9","38","9","41","4","6","9","50","9","61","4","9","7","14"
"13","4","8","7","24","7","25","1","3","2","<3","8","24","10","49","10","50","4","6","10","54","9","61","5","13","7","14"
"14","4","8","7","24","7","25","1","3","2","<3","9","29","10","49","10","50","5","9","10","54","10","76","5","13","8","24"
"15","4","8","7","24","7","25","1","3","3","<3","10","35","11","59","11","59","5","9","11","64","11","79","6","16","8","24"
"16","4","8","7","24","7","25","2","6","3","<3","10","35","11","59","11","59","6","12","11","64","12","84","7","25","9","40"
"17","5","11","8","26","8","28","2","6","4","<3","11","50","12","74","11","59","6","12","12","79","12","84","8","31","9","40"
"18","5","11","8","26","8","28","3","6","4","<3","11","50","12","74","12","73","7","12","12","79","13","95","9","34","10","56"
"19","5","11","8","26","8","28","3","6","5","<3","12","65","13","84","12","73","7","12","13","89","14",">99","10","59","10","56"
"20","5","11","8","26","8","28","4","6","6","3","13","85","13","84","12","73","8","12","13","89","15",">99","10","59","11","64"
"21","5","11","8","26","9","31","4","6","6","3","","","14","90","13","86","9","18","14","93","","","11","84","12","71"
"22","6","14","9","38","9","31","4","6","7","7","","","15","97","13","86","9","18","14","93","","","12","91","12","71"
"23","6","14","9","38","9","31","5","6","7","7","","","","","14","93","10","26","15","96","","","12","91","13","80"
"24","6","14","9","38","10","36","5","6","8","16","","","","","","","10","26","","","","","13","97","14","90"
"25","6","14","9","38","10","36","6","6","9","19","","","","","","","11","44","","","","","13","97","14","90"
"26","6","14","9","38","10","36","6","6","9","19","","","","","","","11","44","","","","","14",">99","14","90"
"27","7","19","10","50","10","36","7","14","10","25","","","","","","","12","71","","","","","","","14","90"
"28","7","19","10","50","11","42","7","14","11","31","","","","","","","12","71","","","","","","","15","98"
"29","7","19","10","50","11","42","8","22","12","50","","","","","","","13","91","","","","","","","15","98"
"30","7","19","10","50","11","42","8","22","13","84","","","","","","","13","91","","","","","","","16","99"
"31","7","19","11","59","11","42","8","22","","","","","","","","","","","","","","","","","",""
"32","7","19","11","59","12","61","9","31","","","","","","","","","","","","","","","","","",""
"33","8","25","11","59","12","61","9","31","","","","","","","","","","","","","","","","","",""
"34","8","25","11","59","12","61","10","44","","","","","","","","","","","","","","","","","",""
"35","8","25","12","79","12","61","10","44","","","","","","","","","","","","","","","","","",""
"36","8","25","12","79","13","89","11","58","","","","","","","","","","","","","","","","","",""
"37","8","25","12","79","13","89","11","58","","","","","","","","","","","","","","","","","",""
"38","8","25","12","79","13","89","12","81","","","","","","","","","","","","","","","","","",""
"39","9","31","12","79","","","12","81","","","","","","","","","","","","","","","","","",""
"40","9","31","13","94","","","13","97","","","","","","","","","","","","","","","","","",""
"41","9","31","13","94","","","","","","","","","","","","","","","","","","","","","",""
"42","9","31","13","94","","","","","","","","","","","","","","","","","","","","","",""
"43","9","31","13","94","","","","","","","","","","","","","","","","","","","","","",""
"44","9","31","14","94","","","","","","","","","","","","","","","","","","","","","",""
"45","10","36","14","94","","","","","","","","","","","","","","","","","","","","","",""
"46","10","36","15","94","","","","","","","","","","","","","","","","","","","","","",""
"47","10","36","15","94","","","","","","","","","","","","","","","","","","","","","",""
"48","10","36","15","94","","","","","","","","","","","","","","","","","","","","","",""
"49","10","36","16","97","","","","","","","","","","","","","","","","","","","","","",""
"50","10","36","16","97","","","","","","","","","","","","","","","","","","","","","",""
"51","11","53","","","","","","","","","","","","","","","","","","","","","","","",""
"52","11","53","","","","","","","","","","","","","","","","","","","","","","","",""
"53","11","53","","","","","","","","","","","","","","","","","","","","","","","",""
"54","11","53","","","","","","","","","","","","","","","","","","","","","","","",""
"55","11","53","","","","","","","","","","","","","","","","","","","","","","","",""
"56","11","53","","","","","","","","","","","","","","","","","","","","","","","",""
"57","12","78","","","","","","","","","","","","","","","","","","","","","","","",""
"58","12","78","","","","","","","","","","","","","","","","","","","","","","","",""
"59","12","78","","","","","","","","","","","","","","","","","","","","","","","",""
"60","12","78","","","","","","","","","","","","","","","","","","","","","","","",""
"61","12","78","","","","","","","","","","","","","","","","","","","","","","","",""
"62","12","78","","","","","","","","","","","","","","","","","","","","","","","",""
"63","13","94","","","","","","","","","","","","","","","","","","","","","","","",""
"64","13","94","","","","","","","","","","","","","","","","","","","","","","","",""
"65","13","94","","","","","","","","","","","","","","","","","","","","","","","",""
"66","13","94","","","","","","","","","","","","","","","","","","","","","","","",""
"67","14",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"68","14",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"SEM","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1",""
