"原始分","CVP_标准分","CVP_百分比","EL_标准分","EL_百分比","RL_标准分","RL_百分比","FM_标准分","FM_百分比","GM_标准分","GM_百分比","VMI_标准分","VMI_百分比","AE_标准分","AE_百分比","SR_标准分","SR_百分比","CMB_标准分","CMB_百分比","CVB_标准分","CVB_百分比","PB_标准分","PB_百分比","PSC_标准分","PSC_百分比","AB_标准分","AB_百分比"
"0","6","<13","7","6","7","13","2","<8","4","<2","5","<5","6","3","6","5","2","<2","5","7","3","<2","2","<3","2","1"
"1","6","<13","7","6","7","13","2","<8","4","<2","6","5","6","3","6","5","3","<2","6","18","3","<2","3","<3","2","1"
"2","6","<13","8","31","8","33","3","<8","5","2","7","19","7","5","7","14","3","<2","7","25","4","2","4","<3","3","2"
"3","6","<13","8","31","8","33","3","<8","5","2","7","19","7","5","7","14","4","<2","7","25","4","2","4","<3","3","2"
"4","7","13","9","53","8","33","3","<8","5","2","8","33","8","8","8","26","4","<2","8","32","5","5","5","<3","4","5"
"5","7","13","9","53","9","48","4","<8","6","5","8","33","8","8","8","26","5","2","8","32","6","8","6","3","4","5"
"6","7","13","10","61","9","48","4","<8","6","5","9","43","9","20","8","26","5","2","9","39","6","8","6","3","5","8"
"7","7","13","10","61","10","60","5","<8","7","7","10","50","9","20","9","40","5","2","10","50","7","12","7","7","5","8"
"8","7","13","10","61","10","60","5","<8","7","7","10","50","9","20","9","40","6","5","11","64","8","17","8","10","6","12"
"9","8","28","11","67","10","60","5","<8","7","7","11","57","10","43","10","52","7","10","11","64","9","27","9","23","6","12"
"10","8","28","11","67","11","68","6","<8","8","7","11","57","10","43","10","52","7","10","12","79","9","27","9","23","7","20"
"11","8","28","11","67","11","68","6","<8","8","17","12","69","10","43","11","62","8","17","12","79","10","37","10","47","7","20"
"12","8","28","12","69","11","68","6","<8","8","17","13","81","11","58","11","62","8","17","13","86","11","52","11","70","8","31"
"13","9","53","12","69","12","73","7","8","9","17","13","81","11","58","12","71","8","17","13","86","11","52","12","80","8","31"
"14","9","53","12","69","12","73","7","8","9","26","14","90","12","68","12","71","9","26","14","93","12","75","13","87","9","42"
"15","9","53","13","72","13","78","7","8","10","26","14","90","12","68","13","83","9","26","14","93","12","75","13","87","9","42"
"16","9","53","13","72","13","78","8","20","10","38","15","95","13","85","13","83","9","26","15",">99","13","88","14","97","10","50"
"17","10","63","13","72","13","78","8","20","10","38","16","95","13","85","13","83","10","38","15",">99","14","93","15",">99","10","50"
"18","10","63","14","83","13","78","9","28","11","50","16","95","14","98","14","95","10","38","16",">99","14","93","15",">99","11","58"
"19","10","63","14","83","14","88","9","28","11","50","17","98","14","98","14","95","11","48","17",">99","15","98","16",">99","11","58"
"20","10","63","14","83","14","88","9","28","12","60","17","98","15",">99","14","95","11","48","17",">99","15","98","16",">99","12","70"
"21","11","63","14","83","14","88","10","38","12","60","","","15",">99","15",">99","12","60","18",">99","","","17",">99","12","70"
"22","11","63","15","97","14","88","10","38","13","74","","","16",">99","15",">99","12","60","18",">99","","","17",">99","13","80"
"23","11","63","15","97","15","98","10","38","13","74","","","","","16",">99","13","74","","","","","18",">99","13","80"
"24","11","63","15","97","15","98","11","55","13","74","","","","","","","13","74","","","","","18",">99","14","89"
"25","12","72","15","97","15","98","11","55","14","86","","","","","","","13","74","","","","","19",">99","14","89"
"26","12","72","16",">99","15","98","12","73","14","86","","","","","16",">99","14","81","","","","","19",">99","14","89"
"27","12","72","16",">99","16",">99","12","73","14","86","","","","","","","14","81","","","","","","","15","97"
"28","12","72","16",">99","16",">99","12","73","14","86","","","","","","","15","88","","","","","","","15","97"
"29","13","88","16",">99","16",">99","13","85","15","95","","","","","","","15","88","","","","","","","16",">99"
"30","13","88","17",">99","16",">99","13","85","15","95","","","","","","","16","98","","","","","","","16",">99"
"31","13","88","17",">99","17",">99","13","85","","","","","","","","","","","","","","","","","",""
"32","13","88","17",">99","17",">99","14","93","","","","","","","","","","","","","","","","","",""
"33","14","97","17",">99","17",">99","14","93","","","","","","","","","","","","","","","","","",""
"34","14","97","17",">99","18",">99","15","98","","","","","","","","","","","","","","","","","",""
"35","14","97","18",">99","18",">99","15","98","","","","","","","","","","","","","","","","","",""
"36","14","97","18",">99","18",">99","15","98","","","","","","","","","","","","","","","","","",""
"37","15",">99","18",">99","19",">99","16",">99","","","","","","","","","","","","","","","","","",""
"38","15",">99","18",">99","19",">99","16",">99","","","","","","","","","","","","","","","","","",""
"39","15",">99","19",">99","","","17",">99","","","","","","","","","","","","","","","","","",""
"40","15",">99","19",">99","","","17",">99","","","","","","","","","","","","","","","","","",""
"41","16",">99","19",">99","","","","","","","","","","","","","","","","","","","","","",""
"42","16",">99","19",">99","","","","","","","","","","","","","","","","","","","","","",""
"43","16",">99","20",">99","","","","","","","","","","","","","","","","","","","","","",""
"44","16",">99","20",">99","","","","","","","","","","","","","","","","","","","","","",""
"45","16",">99","20",">99","","","","","","","","","","","","","","","","","","","","","",""
"46","17",">99","20",">99","","","","","","","","","","","","","","","","","","","","","",""
