"排序","一级分类","二级分类","评估项目","操作描述","所需材料","适用年龄","是否必答","评分_a_分值","评分_a_标签","评分_a_说明","评分_b_分值","评分_b_标签","评分_b_说明","评分_c_分值","评分_c_标签","评分_c_说明","评分_d_分值","评分_d_标签","评分_d_说明","评分_e_分值","评分_e_标签","评分_e_说明"
"77","病理学","感觉模式","77：不正常的质地兴趣","观察： 注意孩子如何对具有某种质地的物体做 出反应，他是否表现出要摸一摸的过分兴 趣，特别是他是如何对能触摸的积木和玩 具做出反应的。","无","","是","2","A","孩子对质地的兴趣保持在正常范围内。","1","M","触摸摆弄过分，或者避免触摸，但能被测试者所打断(就 象年龄较小的孩子一样)。","0","S","孩子对质地有过分或奇特的兴趣。病理学行为可能包括： 过多地把物品放在脸上摩擦；连续不断地反复摆弄一些具 有他所喜爱的质地的物品等。","","","","","",""
"78","病理学","感觉模式","78：不正常的味觉兴趣","观察： 注意孩子是否不适当地品尝或者舔物品。","无","","是","2","A","孩子不会不适当地品尝物品、把物品放入嘴内或舔一舔物 品 。","1","M","像一个比他年幼的孩子，把东西放进嘴里舔一舔，就其年 龄来说是过分的行为。","0","S","孩子显示出不适当的品尝或舔物品的倾向(例如对测试材 料、房间里的物品、测试者等)。","","","","","",""
"79","病理学","感觉模式","79：不正常的嗅觉兴趣","观察： 注意孩子是否不正常地嗅闻物体。","无","","是","2","A","孩子的嗅觉方面的兴趣在正常范围内(如没出现嗅闻过分 的情况)。","1","M","孩子轻度地显示出对嗅闻物品的兴趣，像比他年幼的孩子 一样。","0","S","孩子显示出在嗅闻物品方面的过分兴趣(如长时间地或过 分地嗅闻测试材料、房间内的其他物品、他的双手等)。","","","","","",""
"80","病理学","情感","80：不正常的情感","观察： 注意孩子整体的感情与情绪反应。要意识 到种种不适当的和莫名其妙的极端的感 情反应；各种刻板的反应或者压抑的、无 动于衷的反应。当孩子能做出适当反应， 但他所作反应程度是极端的(如过度的兴 奋或过度的抑制),也要加以注意。","无","","是","2","A","在实施过程中孩子的感情反应是适当的，而且他能显示出 对测试者和对测试材料有某种正常的反应和兴趣。","1","M","孩子的情感反应有点不适当，与其说是古怪，不如说像比 他幼小的孩子。","0","S","在实施过程的大部分时间内，孩子显示出不适当的感情。 异常行为可能包括面部表情呆板、没有变化、过度发傻或 格格地笑、面部表情无缘无故地变化快、做鬼脸、或者对 测试者和对测试材料或情景一般没有反应或兴趣。","","","","","",""
"81","病理学","物品喜好","81：进行项目测试时的紊乱行为","观察： 当孩子从事模仿、表演或口语项目时，注 意孩子的行为是否做到有条理。即他是否 知道为完成某项任务应做些什么?他能 按适当的顺序执行那些步骤吗?他知道什 么时候做完吗?","无","","是","2","A","一般说来孩子能以有条不紊的方式去试图完成各项任务(就 其发展水平而言)。","1","M","孩子的条理化的能力前后并不一致，常常需要测试者的帮 助或提示。","0","S","孩子不能使他们的行为条理化，不知道要他做什么,或什 么时候做完，或者按逻辑顺序一步步地执行，看得出注意 力稍纵即逝、不稳定，或者有异常行为，也就是说跳上跳 下桌子，两手扑动，吵吵闹闹，做鬼脸，旋转身体等。","","","","","",""
"82","病理学","人际关系","82：不向测试者寻求帮助","观察： 注意孩子是否在测试中或个人需要时(如 系鞋带，穿运动衫，去获得想要的东西， 上厕所等),能要求或打手势向测试者寻 求帮助，或者就其年龄来说，要求帮助过 多 。","无","","是","2","A","孩子能提出要求或以适当的手势请求帮助。","1","M","孩子即使在需要的时候也不经常或提出要求或用手势来请 求帮助。","0","S","孩子从不会在需要时提出要求，或用手势请求帮助；或者 过多地要求帮助。","","","","","",""
"83","病理学","情感","83：不适当的恐惧反应","观察： 注意孩子是否对恐惧的情景能做出适当 的反应。在正常的情况下，在可以预料有 恐惧反应的情景中，孩子是否缺乏这样一 种反应，孩子的反应是过度的，还是毫无 根据的。孩子对与家长分离有什么反应。","无","","是","2","A","孩子对这种情景的恐惧反应就其年龄和情景来说是适当的， 而且容易使他平静下来。","1","M","就他的年龄和情景来说，孩子比预想的还要害怕。","0","S","在正常情况下，在预期应当有恐惧反应的场合，孩子却似 乎并不害怕，或者过度害怕，以致难以使他平静下来。","","","","","",""
"84","病理学","感觉模式","84：怪癖及怪异动作","观察： 在结构化与非结构化活动期间注意孩子 的躯体动作。","无","","是","2","A","孩子没有不正常的、重复的举止或动作，虽然也许有轻微 的协调方面的问题。","1","M","孩子偶尔有或者仅有轻微的怪癖及怪异动作。","0","S","孩子在躯体方面经常有或者有过度的怪癖及怪异动作，如 不正常的反复动作(旋转、摇晃)、手指或躯体的怪异姿势， 踮起脚尖走路或自伤行为。","","","","","",""
"85","病理学","人际关系","85：不知道测试者的存在","观察： 注意孩子是否似乎知道测试者的存在。他 对测试者的声音能否有反应，有无视线接 触，对表扬与微笑有无反应。","无","","是","2","A","孩子能对测试者做出反应，即对测试者的声音能做出反应， 能看着他，对他的微笑或表扬做出反应等。","1","M","孩子显示出在某种程度上缺乏社会性反应，包括缺乏视线 接触，或者很少主动开始互动行为，通常需要介入才能引 起社会性反应。","0","S","孩子似乎不知道测试者的存在。也就是说，孩子很少对他 做出反应，相当孤独，或者忘记测试者的存在。测试者必 须总是强行介入才能引起任何反应。","","","","","",""
"86","病理学","人际关系","86：与测试者不合作","观察： 注意孩子是否对测试者的要求采取合作 态度。","无","","是","2","A","孩子除了在似乎不理解或在不知道如何去做要求他做的事 以外，通常都能按测试者的要求去做。","1","M","孩子持轻度的抗拒态度。合作是不稳定的或者多变的。","0","S","孩子持极度抗拒态度，或者其合作极度不稳定或多变，几 乎不想与测试者合作。","","","","","",""
"87","病理学","物品喜好","87：集中注意力的时间不正常","观察： 注意就其年龄来说，孩子是否对测试者、 测试材料或要求做的任务给予足够的注 意。还要观察当测试者要求他注意时，他 是否变得灰心丧气。","无","","是","2","A","孩子集中注意力的时间在正常范围内，要认识到年龄较小 的孩子与年龄较大的孩子相比，其注意力集中的时间要短 些。","1","M","像一个比他幼小的孩子一样，他的注意力集中的时间比较 有限。","0","S","孩子的注意力转瞬即逝，他不能与测试者合作；或者不能 完成简单的任务；或者当测试者要他注意，或者某项任务 要求他在某种程度上集中注意力时，他很容易分散精力或 者变得极度灰心丧气。","","","","","",""
"88","病理学","情感","88：不能容忍被打断","观察： 当你拿走一种他似乎喜欢的测试材料，或 从一项测试转到下一项时，注意孩子如何 反应。","无","","是","2","A","孩子能容忍从一项测试转到另一项，而且当拿走他所喜欢 的测试材料时，并不特别不高兴。","1","M","孩子对转移测试项目或是拿走测试材料有相当的困难，但 他还能做到去完成下一个项目。","0","S","孩子不能容忍被打断。即当告诉他把一件喜爱的物品收拾 起来或转换另一测试项目时，孩子有一种极端的情感反应。 病理学行为可能包括：过度的哭喊、尖叫、两手扑动、做 鬼脸、发脾气、撞头等。","","","","","",""
"89","病理学","语言","89：不正常的语调及音调变化","观察： 注意孩子(两岁以上)的言语模式及语调 是否异常。","无","","是","2","A","孩子的语调在正常范围内，有抑扬顿挫，音量及速度合理。","1","M","言语的特点是：音调及音高几乎没有变化，音量异常，语 速有点慢、有点快或不均匀。","0","S","孩子言语显著不正常，包括怪异的语调及音调，言语质量 呆板机械，以及类似唱歌、发声嘶哑或尖厉。","","","","","",""
"90","病理学","语言","90：发出无意义的声音(如婴儿咋哑学声语)","观察： 注意孩子(超过1岁半)是否反复发出毫 无意义或令人难以理解的声音。","无","","是","2","A","从不发出无意义的声音。","1","M","孩子偶尔发出无意义的声音(年龄在1岁半以上)。","0","S","经常发出无意义的声音，并且好像是婴儿咿哑学语。","","","","","",""
"91","病理学","语言","91：不适当地使用词语","观察： 注意孩子如何使用单词及短语，孩子的言 语是不是有一定意义。","无","","是","2","A","孩子使用的词语与情景及年龄相适应，具有功能性、口语 交际能力。","1","M","孩子使用词语的水平有些迟滞。也可包括偶尔有不适当的 言语。","0","S","孩子不使用任何词语进行交际，或者他总的来说使用词语 不当。病理学行为可能包括：在表达需求时词不达意；重 复电视广告中的短语或有韵律的句子；或持续使用不适当 的词语来描述环境或物品(例如，把所有玩具都叫做“玉 米片”)。","","","","","",""
"92","病理学","语言","92：使用怪癖的或自创的特异话语","观察： 注意孩子是否经常或者仅仅使用怪癖的 语言(混淆的，不可理解的语言),或者 使用自创的语言(难懂的奇特语言)。","无","","是","2","A","孩子能使用正常的、与情景相联系的词语。","1","M","孩子偶尔使用无意义的词及短语。同时孩子也可能使用一 些具有交际功能的词语。","0","S","孩子经常说些怪癖的话语(莫明其妙的词或短语),或者特 异的语言，如，生造出来的或隐喻式的词语(用“把灯关 上”表示“我要自己呆一会”)。","","","","","",""
"93","病理学","语言","93：即时式反响语言","观察： 注意孩子是否不恰当地重复最近听到的 词语或短语。","无","","是","2","A","孩子不会去不适当地重复刚才听到的话。","1","M","在不该重复词语的场合，孩子偶尔重复他刚才听到的话。","0","S","孩子经常无意义地重复他刚才听到的话。","","","","","",""
"94","病理学","语言","94：延迟式反响语言","观察： 注意孩子是否不恰当地重复一段时间之 前听到过的话。","无","","是","2","A","除非有必要，孩子不会不适当地重复他在一段时间之前听 到过的话。","1","M","在不该重复词语的场合，孩子会偶尔重复他在一段时间之 前听到过的词语。","0","S","孩子经常不适当地重复他在一段时间之前听到过的词语。","","","","","",""
"95","病理学","语言","95：词或声音的持续反复","观察： 注意孩子是否一遍又一遍地重复某些词 语或声音。","无","","是","2","A","孩子不会一遍又一遍地持续重复词语或声音(没有持续言 语症)。","1","M","孩子偶尔持续某些词语或声音。","0","S","孩子经常持续某些词语或声音。","","","","","",""
"96","病理学","语言","96：代词倒转","观察： 注意孩子是否能正确使用代词。如果使用 不当，是属于因年幼不理解代词功能而误 用，还是对代词混淆不清?","无","","是","2","A","孩子能正确使用代词。","1","M","孩子偶尔混淆“你”、“我”、“他/她”这些代词(年龄在两 岁半或两岁半以上时),或在谈到自己时用自己的名字而不 用“我”。","0","S","孩子经常代词倒转而且似乎不理解“我”和“你”(年龄在 两岁半或两岁半以上时)。","","","","","",""
"97","病理学","语言","97：不能自发进行语言交流","观察： 孩子交际用语言是否符合功能，是否相互 关联?是否不能或不愿提问或回答问 题?其交流的内容是否缺少多样化和自 发性?有没有自发语言。","无","","是","2","A","孩子(一岁半以上)能运用多样化的功能语言和自发语言 做出反应，交流思想或提出问题。","1","M","孩子很少进行自发交流或相互交流，仿佛很害羞，但能在 受到鼓励的情况下在有限的程度上做出反应。","0","S","孩子不能运用任何自发的、功能性的、有关联的沟通手段， 或以重复的或不恰当的方式反复讲一个主题。","","","","","",""
"98","病理学","语言","98：言语不可理解","观察： 孩子是否由于发音不清晰、发音方法有问 题或语音混淆等引起言语无法理解。","无","","是","2","A","孩子发音清晰，容易理解，声音不会混淆。","1","M","孩子由于发音不清晰、发音方法或声音混淆使言语有点令 人难以理解(两岁以上)。","0","S","孩子由于发音不清晰，发音方法不当造成声音混淆，言语 无法理解。","","","","","",""
"99","病理学","语言","99：句法规则混淆","观察： 注意孩子在使用短语或句子过程中有没 有经常出现词序颠倒的现象。","无","","是","2","A","孩子能按正确顺序使用词语(两岁半以上孩子)。就孩子年 龄来说，词序有点混淆但在正常范围之内。","1","M","孩子偶尔在短语或句子中混淆词序。混淆的情况有点超出 孩子的年龄范围。","0","S","孩子在短语或句子中经常出现词序错乱现象。","","","","","",""
"100","补充项目","模仿","23(H)：模仿","要孩子仿效用手臂打信号的动作，如左上；右下-右前；左下等，","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"101","补充项目","模仿","64(L)：模仿声音来获取奖励物","吹泡泡，说：“泡泡”(停一下),“泡泡”(停一下);“Bu-”,在等待孩子发 声音时，拿住泡泡瓶不要给他。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"102","补充项目","知觉","30(H)：对指向远处的东西做出反应","指向放在房间另一头的球，示意孩子去拿。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"103","补充项目","知觉","58(L)：找到杯子下的糖果","只用一只杯子，把糖果盖在下面，等孩子去提起来。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"104","补充项目","精细动作","1A(H)：握的力量","要孩子“紧紧地”拧上盖子。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"105","补充项目","精细动作","5B(H)：捏一团胶泥，控制泥团大小","要孩子照你的模型捏出一个男孩或一只狗。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"106","补充项目","精细动作","45(H)：连续剪直线，剪转角","要孩子从字母表上剪下一个字母。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"107","补充项目","粗大动作","17A(L)：能用双手握球","把球给孩子，让他拿住。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"108","补充项目","粗大动作","20(H)：倒着行走","作示范，要孩子也倒着走。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"109","补充项目","粗大动作","22A(H)：能单脚跳","要孩子朝着你跳过来。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"110","补充项目","粗大动作","22B(H)：手脚协调","要孩子模仿跳跃动作，双脚并拢、分开，随之双臂上下摆动。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"111","补充项目","手眼协调","8A(L)：往孔里放积木","先示范，再要孩子把积木放入罐里(在咖啡罐的塑料盖上挖出与积木面积相 等的孔)。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"112","补充项目","手眼协调","39(H)：能写出笔划较多的汉字而不出错","要孩子抄写“他、有、回”。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"113","补充项目","手眼协调","39(H)：能写出数字","要孩子写1-10。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"114","补充项目","认知表现","7(H)：附加的身体动作","要孩子能摸膝盖、肩、牙、舌头、左脚、右脚等。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"115","补充项目","认知表现","41(H)：写出全名","要孩子完整地写出姓名。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"116","补充项目","认知表现","41(H)：听写","要孩子写出“人、十、天”。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"117","补充项目","认知表现","49D(L)：能照图匹配数量","在纸上画出三个圆，要孩子“拿同样数目的积木”,可示范一次。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"118","补充项目","认知表现","49D(H)：能照数字匹配数量","在纸上写出2,6,要孩子“把同样数目的积木放在纸上”。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"119","补充项目","认知表现","50(H)：照做三步指令","“碰一下门，拍拍头，再跳起来”。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"120","补充项目","认知表现","50(H)：照做两步指令(加上物品)","“把杯子放到窗台上，再把球放在桌子上”。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"121","补充项目","认知表现","59(L)：用手势表达实物的用途","给孩子看哨子实物，“这是干什么用的?做给我看”。再拿杯子给他看，“你 拿它干什么?做给我看”。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"122","补充项目","认知表现","63B(L)：接受性辨认实物","把三样东西放在桌子上(杯子、球、泡泡瓶或盒子),说出其中一个物品的 名称，要孩子去触摸或给你。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"123","补充项目","认知表现","69(H)：理解表示所属关系的代词","在涂颜色项目过程中说，“这支蜡笔是我用的。这支是你用的，把你的蜡笔 拿起来”。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"124","补充项目","认知表现","69(H)：理解介词","使用积木及盒子，说：“把积木放进盒子里、放在盒子下面、放在盒子后面”,","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"125","补充项目","认知表现","70E(L)：遵照与本人有关的书面指令","“(小明),到门那儿去。”“去把球拿来”。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"126","补充项目","口语认知","52(H)：认识百以内的数字","要孩子读出写在纸上的下列字：12,25,21,50,100。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"127","补充项目","口语认知","53A(L)：理解具体物品的相加","把积木放在桌子上，“如果我给你三块，然后再给你一块，这样你有几块了?” 观察孩子是否能把积木放在一起表示相加。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"128","补充项目","口语认知","53A(L)：用具体物品相加","孩子能说出上面53A(L)项加法题的和数。","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"129","补充项目","口语认知","63B(H)：理解问题","“球在什么地方?告诉我。”“你要什么?告诉我。”","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"130","补充项目","口语认知","63C(L)：说出一个物品的名称","举起一件物品(杯子、球、泡泡瓶、糖果)问：“这是什么?”","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
"131","补充项目","口语认知","63C(H)：回答问题 孩子能回答的一些日常问话","“谁在开车?”(女孩);“苹果在什么地方?”(树上);“你用钥匙做什么?” (开门);“你为什么用扇子?”(凉快);“那个男人有什么?”(刷子); “你叫什么名字?”“你住在什么地方?”“你几岁了?”“你怎么来的?” “你早饭吃了什么?”“午饭想吃什么?”“喜欢那种游戏吗?”(是/否)","","","否","1","H（通过）","","0","L（不通过）","","","","","","","","","",""
