"排序","一级分类","二级分类","评估项目","操作描述","所需材料","适用年龄","是否必答","评分_a_分值","评分_a_标签","评分_a_说明","评分_b_分值","评分_b_标签","评分_b_说明","评分_c_分值","评分_c_标签","评分_c_说明","评分_d_分值","评分_d_标签","评分_d_说明","评分_e_分值","评分_e_标签","评分_e_说明"
"40","发展副测验","语言理解-RL","明白3个常见物件的名称","杯子____\n匙子____\n球____","杯子, 匙子, 球","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"41","发展副测验","小肌肉-FM","利用前二指钳法","","小物件","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"42","发展副测验","认知(语言/语前)-CVP","找寻完全被隐藏的物件","第1次观察:____\n第2次观察:____","杯, 小物件","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"43","发展副测验","认知(语言/语前)-CVP","杯下寻物","第1次观察:____\n第2次观察:____","杯, 小物件","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"44","发展副测验","认知(语言/语前)-CVP","触觉辨别4件物件","鼓____\n钥匙____\n杯子____\n锤子____","触觉袋, 钥匙, 杯, 锤子, 球","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"45","发展副测验","认知(语言/语前)-CVP","恰当地检视及运用测试材料","","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"46","发展副测验","认知(语言/语前)-CVP","恰当地使用视觉检视测试材料","","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"47","发展副测验","大肌肉-GM","拍手","","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"48","发展副测验","大肌肉-GM","单脚站立","","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"49","行为副测验","情感表达-AE","享受身体接触","","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"50","行为副测验","情感表达-AE","享受被搔痒","","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"51","行为副测验","社交互动-SR","主动重复社交游戏","","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"52","行为副测验","社交互动-SR","主动与测试员有社交沟通","","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"53","发展副测验","大肌肉-GM","双脚离地跳跃","跳____\n坐低____","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"54","发展副测验","大肌肉-GM","模仿3项大肌肉动作","1.拍盒____\n2.摸狗____\n3.企起身跳____","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"55","发展副测验","大肌肉-GM","双脚交替地上梯级","上梯级____","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"56","发展副测验","大肌肉-GM","用杯子喝饮品","","杯子, 饮品","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"57","发展副测验","大肌肉-GM","聆听及转向哨子声","哨子____\n球____","哨子","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"58","发展副测验","大肌肉-GM","接球","","球","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"59","发展副测验","大肌肉-GM","抛球","","球","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"60","发展副测验","大肌肉-GM","踢球","踢球____","球","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"61","发展副测验","大肌肉-GM","表现出使用惯用脚","惯用脚: 左/右____","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"62","发展副测验","大肌肉-GM","持球并向前行4步","拿起皮球____","球","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"63","发展副测验","大肌肉-GM","推球","皮球放桌子上____","球","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"64","行为副测验","行为特征-非语言-CMB","对绳子的反应","","绳子","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"65","发展副测验","小肌肉-FM","用绳子穿珠子","完成____粒","绳子, 珠子","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"66","发展副测验","小肌肉-FM","摆动穿上珠子的绳子","观看____\n扭动____","穿有珠子的绳子","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"67","发展副测验","小肌肉-FM","拿走包绒铁丝上的珠粒","完成____粒","包绒铁丝, 珠粒","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"68","发展副测验","小肌肉-FM","协调地运用双手","","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"69","发展副测验","小肌肉-FM","将物件由一只手交到另一只手","","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
