"原始分","CVP_标准分","CVP_百分比","EL_标准分","EL_百分比","RL_标准分","RL_百分比","FM_标准分","FM_百分比","GM_标准分","GM_百分比","VMI_标准分","VMI_百分比","AE_标准分","AE_百分比","SR_标准分","SR_百分比","CMB_标准分","CMB_百分比","CVB_标准分","CVB_百分比","PB_标准分","PB_百分比","PSC_标准分","PSC_百分比","AB_标准分","AB_百分比"
"0","6","<13","7","<13","6","13","2","<5","4","<5","<2","7","4","<5","3","<6","3","<6","5","7","3","<2","2","<3","2","1"
"1","6","<13","7","<13","6","13","2","<5","4","<5","<2","7","4","<5","3","<6","3","<6","5","7","3","<2","2","<3","2","1"
"2","6","<13","7","<13","7","33","3","<5","5","<5","<2","7","5","19","4","7","4","<6","6","14","4","<2","3","<3","3","2"
"3","6","<13","8","31","7","33","3","<5","5","<5","<2","19","5","19","5","7","4","<6","6","26","4","<2","3","<3","3","2"
"4","6","<13","8","53","8","53","3","<5","5","6","4","33","6","33","5","7","5","8","7","26","5","<2","4","<3","4","5"
"5","7","6","8","61","8","60","4","<5","6","6","5","40","6","33","6","8","5","8","7","40","5","<2","4","<3","4","5"
"6","7","6","9","61","9","60","4","<5","6","12","6","50","7","52","7","20","6","8","8","50","6","8","5","3","5","5"
"7","7","7","9","67","9","68","5","<5","7","12","7","57","7","52","7","20","6","8","8","52","6","8","5","10","5","7"
"8","7","7","10","67","10","68","5","<5","7","21","8","57","8","43","8","43","7","11","9","52","7","8","6","10","6","7"
"9","7","7","10","67","10","73","6","<5","8","21","8","61","8","43","8","43","7","11","9","58","7","11","6","12","6","9"
"10","8","8","10","90","10","73","6","8","8","35","9","61","9","58","9","58","8","11","10","68","8","11","7","12","7","9"
"11","8","28","11","90","11","73","7","8","9","35","9","61","9","58","9","68","8","11","10","68","8","12","7","12","7","10"
"12","8","28","11","90","11","90","7","20","9","41","10","71","10","58","10","68","9","12","11","71","9","12","8","28","8","10"
"13","8","53","11","93","11","90","8","20","10","41","10","71","10","83","10","68","9","12","11","71","9","12","8","28","8","11"
"14","8","53","12","93","12","90","8","28","10","41","11","83","11","83","11","83","10","13","12","83","10","13","9","38","9","12"
"15","9","53","12","93","12","95","8","28","11","50","11","83","11","83","11","83","10","13","12","83","10","13","9","38","9","13"
"16","9","69","12","97","12","95","9","38","11","50","12","95","12",">99","12",">99","10","14","13",">99","11","14","10",">99","10","13"
"17","9","72","13","97","13","95","9","38","12","50","12","95","12",">99","13",">99","10","14","13",">99","11","14","10",">99","10","15"
"18","10","72","13","97","13","98","9","38","12","48","13",">99","13",">99","13",">99","10","15","14",">99","12","15","11",">99","11","16"
"19","10","83","13","97","14","98","10","43","13","48","13",">99","13",">99","14",">99","10","15","14",">99","12","15","12",">99","12","17"
"20","10","83","14","97","14",">99","10","43","13","63","14",">99","14",">99","14",">99","10","16","15",">99","13","15","12",">99","12",">99"
"21","11","83","14","97","14",">99","10","56","14","63","14",">99","14",">99","15",">99","10","16","15",">99","13","15","13",">99","13",">99"
"22","11","74","14","97","15","97","11","56","14","74","15",">99","15",">99","15",">99","11",">99","15",">99","14","17","13",">99","13",">99"
"23","11","74","15","97","15",">99","11","56","15","74","15",">99","15",">99","16",">99","11",">99","16",">99","14","18","14",">99","13",">99"
"24","11","63","15","97","15",">99","11","55","15","74","","","","","","","13","74","","","","","18",">99","14","89"
"25","12","72","15",">99","15",">99","11","55","15","86","","","","","","","13","74","","","","","18",">99","14","89"
"26","12","72","16",">99","16",">99","12","73","15","86","","","","","16",">99","14","86","","","","","19",">99","14","89"
"27","12","72","16",">99","16",">99","12","73","15","86","","","","","","","14","86","","","","","","","","97"
"28","12","72","16",">99","16",">99","13","73","15","95","","","","","","","15","95","","","","","","","",">99"
"29","13","88","16",">99","16",">99","13","88","15","95","","","","","","","15","95","","","","","","","",">99"
"30","13","88","17",">99","17",">99","13","88","15","98","","","","","","","16","98","","","","","","","",""
"31","13","88","17",">99","17",">99","14","93","16",">99","","","","","","","","","","","","","","","",""
"32","14","97","17",">99","17",">99","14","93","16",">99","","","","","","","","","","","","","","","",""
"33","14","97","17",">99","18",">99","14","98","16",">99","","","","","","","","","","","","","","","",""
"34","14",">99","18",">99","18",">99","15",">99","","","","","","","","","","","","","","","","","",""
"35","14",">99","18",">99","18",">99","15",">99","","","","","","","","","","","","","","","","","",""
"36","15",">99","18",">99","19",">99","15",">99","","","","","","","","","","","","","","","","","",""
"37","15",">99","19",">99","19",">99","16",">99","","","","","","","","","","","","","","","","","",""
"38","15",">99","19",">99","","","16",">99","","","","","","","","","","","","","","","","","",""
"39","15",">99","19",">99","","","17",">99","","","","","","","","","","","","","","","","","",""
"40","16",">99","19",">99","","","17",">99","","","","","","","","","","","","","","","","","",""
"41","16",">99","20",">99","","","17",">99","","","","","","","","","","","","","","","","","",""
"42","16",">99","20",">99","","","17",">99","","","","","","","","","","","","","","","","","",""
"43","16",">99","20",">99","","","","","","","","","","","","","","","","","","","","","",""
"44","16",">99","20",">99","","","","","","","","","","","","","","","","","","","","","",""
"45","17",">99","20",">99","","","","","","","","","","","","","","","","","","","","","",""
"46","17",">99","20",">99","","","","","","","","","","","","","","","","","","","","","",""
"47","17",">99","20",">99","","","","","","","","","","","","","","","","","","","","","",""
"48","17",">99","20",">99","","","","","","","","","","","","","","","","","","","","","",""
